von,bis,"leicht (s)","tief (s)","rem (s)","wach (s)",Aufwachen,"Dauer des Schlafs (s)","Dauer bis zum Wachwerden (s)","Schnarchen (s)",Schnarchepisoden,"Durchschnittliche Herzfrequenz","Herzfrequenz (min)","Herzfrequenz (max)","Night events"
2024-03-08T01:10:01+01:00,2024-03-08T07:31:00+01:00,11460,11280,0,119,0,119,0,0,0,60,55,66,
2024-03-09T02:30:00+01:00,2024-03-09T08:01:00+01:00,12000,7740,0,120,0,120,0,0,0,68,62,75,
2024-03-10T00:16:00+01:00,2024-03-10T08:00:00+01:00,19740,7500,0,600,1,120,0,0,0,69,64,83,
2024-03-10T23:12:00+01:00,2024-03-11T07:00:00+01:00,18240,9720,0,120,0,120,0,0,0,64,58,74,
2024-03-12T00:01:00+01:00,2024-03-12T08:01:00+01:00,17700,10500,0,600,1,120,0,0,0,60,55,72,
2024-03-13T00:07:00+01:00,2024-03-13T08:13:00+01:00,18900,8400,0,1860,2,120,780,0,0,63,58,90,
2024-03-13T23:20:00+01:00,2024-03-14T08:00:00+01:00,21541,8639,0,1020,2,120,0,0,0,63,53,76,
2024-03-15T00:35:00+01:00,2024-03-15T07:17:00+01:00,12480,10500,0,1140,2,120,0,0,0,62,56,92,
2024-03-16T01:29:00+01:00,2024-03-16T07:19:00+01:00,12180,8700,0,120,0,120,0,0,0,59,55,85,
2024-03-19T23:33:00+01:00,2024-03-20T07:31:00+01:00,16860,10020,0,1800,3,120,0,0,0,58,53,66,
2024-03-22T23:07:00+01:00,2024-03-23T08:09:00+01:00,22201,9239,0,1080,2,120,0,0,0,54,48,67,
2024-03-24T00:01:00+01:00,2024-03-24T08:28:00+01:00,20640,9000,0,780,2,120,0,0,0,56,51,69,
2024-03-25T00:22:00+01:00,2024-03-25T07:59:00+01:00,17820,9480,0,120,0,120,0,0,0,56,50,86,
2024-03-26T02:00:00+01:00,2024-03-26T07:28:00+01:00,8940,10620,0,120,0,120,0,0,0,56,53,64,
2024-03-27T01:31:00+01:00,2024-03-27T07:51:00+01:00,9180,7860,0,5760,1,120,0,0,0,58,51,67,
2024-03-31T07:57:00+02:00,2024-03-31T10:21:00+02:00,7320,900,0,420,1,120,0,0,0,67,61,80,
2024-04-01T00:47:00+02:00,2024-04-01T10:13:00+02:00,19321,13979,0,660,1,120,0,0,0,55,51,65,
2024-04-01T23:37:00+02:00,2024-04-02T09:55:00+02:00,22020,14940,0,120,0,120,0,0,0,59,51,93,
2024-04-03T02:42:00+02:00,2024-04-03T09:01:00+02:00,9060,9420,0,720,2,120,0,0,0,61,48,143,
2024-04-03T23:40:00+02:00,2024-04-04T08:00:00+02:00,19920,9420,0,660,1,120,0,0,0,57,54,64,
2024-04-05T01:40:00+02:00,2024-04-05T08:21:00+02:00,14280,6660,0,1020,1,120,780,0,0,57,49,84,
2024-04-06T01:21:00+02:00,2024-04-06T05:43:00+02:00,6780,4920,0,1620,4,120,0,0,0,55,51,63,
2024-04-07T01:46:00+02:00,2024-04-07T09:26:00+02:00,18600,8880,0,120,0,120,0,0,0,63,55,100,
2024-04-08T01:37:00+02:00,2024-04-08T08:09:00+02:00,14340,8400,0,780,2,120,0,0,0,62,57,78,
2024-04-08T23:54:00+02:00,2024-04-09T07:47:00+02:00,17882,9058,0,300,1,120,60,0,0,61,54,90,
2024-04-10T01:35:00+02:00,2024-04-10T07:56:00+02:00,16080,4860,0,1920,4,120,0,0,0,58,51,72,
2024-04-12T01:35:00+02:00,2024-04-12T07:57:00+02:00,15600,6060,0,1260,2,120,0,0,0,62,55,90,
2024-04-13T00:31:00+02:00,2024-04-13T07:02:00+02:00,14820,8100,0,540,1,120,0,0,0,56,50,67,
2024-04-14T01:37:00+02:00,2024-04-14T07:37:00+02:00,14520,5100,0,720,2,120,0,0,0,65,57,91,
2024-04-14T22:56:00+02:00,2024-04-15T07:44:00+02:00,19560,11460,0,660,1,120,0,0,0,55,47,70,
2024-04-16T00:13:00+02:00,2024-04-16T07:39:00+02:00,19140,7500,0,120,0,120,0,0,0,54,48,74,
2024-04-17T02:24:00+02:00,2024-04-17T07:40:00+02:00,10860,7440,0,660,1,120,0,0,0,59,55,68,
2024-04-19T02:10:00+02:00,2024-04-19T07:30:01+02:00,11641,7440,0,120,0,120,0,0,0,56,47,80,
2024-04-20T00:03:00+02:00,2024-04-20T08:02:00+02:00,17760,10140,0,720,2,120,0,0,0,55,47,64,
2024-04-21T02:09:00+02:00,2024-04-21T08:50:00+02:00,13318,8761,0,1981,2,120,780,0,0,54,49,65,
2024-04-22T00:40:01+02:00,2024-04-22T08:00:00+02:00,18120,7620,0,659,1,119,0,0,0,52,48,66,
2024-04-23T00:37:00+02:00,2024-04-23T07:30:00+02:00,16380,7260,0,1140,2,120,0,0,0,53,47,65,
2024-04-26T00:43:00+02:00,2024-04-26T07:31:00+02:00,15601,5699,0,2640,2,120,0,0,0,60,55,73,
2024-04-27T02:42:00+02:00,2024-04-27T07:42:00+02:00,9900,7980,0,120,0,120,0,0,0,62,57,84,
2024-04-29T00:09:00+02:00,2024-04-29T06:40:00+02:00,13440,8520,0,1500,1,120,0,0,0,60,50,71,
2024-04-30T01:00:00+02:00,2024-04-30T07:02:00+02:00,14280,5460,0,840,2,120,0,0,0,59,50,91,
2024-05-01T02:09:00+02:00,2024-05-01T07:42:00+02:00,10799,9061,0,120,0,120,0,0,0,58,52,69,
2024-05-03T00:53:00+02:00,2024-05-03T07:28:00+02:00,14100,9000,0,600,1,120,0,0,0,51,48,58,
2024-05-04T01:49:00+02:00,2024-05-04T07:00:00+02:00,10500,7560,0,600,1,120,0,0,0,58,54,73,
2024-05-05T00:23:00+02:00,2024-05-05T08:03:00+02:00,18900,8340,0,360,1,120,0,0,0,58,52,71,
2024-05-05T23:58:00+02:00,2024-05-06T07:27:00+02:00,17160,9660,0,120,0,120,0,0,0,62,55,83,
2024-05-07T00:54:00+02:00,2024-05-07T06:43:00+02:00,14700,5160,0,1080,2,120,0,0,0,52,46,66,
2024-05-08T01:01:00+02:00,2024-05-08T07:28:00+02:00,6420,16680,0,120,0,120,0,0,0,56,48,71,
2024-05-09T01:24:00+02:00,2024-05-09T07:03:00+02:00,14280,5940,0,120,0,120,0,0,0,57,54,66,
2024-05-12T02:48:00+02:00,2024-05-12T08:59:00+02:00,14519,7140,0,601,1,121,0,0,0,66,58,89,
2024-05-13T23:24:00+02:00,2024-05-14T08:11:00+02:00,23520,7500,0,600,1,120,0,0,0,62,54,97,
2024-05-15T00:43:00+02:00,2024-05-15T08:00:00+02:00,19681,5519,0,1020,2,120,0,0,0,57,50,66,
2024-05-16T01:09:00+02:00,2024-05-16T07:26:00+02:00,14520,7980,0,120,0,120,0,0,0,54,46,69,
2024-05-17T00:30:00+02:00,2024-05-17T08:00:00+02:00,20880,5580,0,540,1,120,0,0,0,54,50,61,
2024-05-18T00:44:00+02:00,2024-05-18T09:14:00+02:00,16320,14160,0,120,0,120,0,0,0,51,45,66,
2024-05-19T04:05:00+02:00,2024-05-19T09:46:00+02:00,13560,6240,0,660,1,120,0,0,0,57,50,70,
2024-05-19T23:58:00+02:00,2024-05-20T08:33:00+02:00,22200,8580,0,120,0,120,0,0,0,51,46,64,
2024-05-21T00:49:00+02:00,2024-05-21T07:00:00+02:00,15180,6000,0,1080,2,120,0,0,0,55,48,71,
2024-05-21T23:21:00+02:00,2024-05-22T08:03:00+02:00,22740,8460,0,120,0,120,0,0,0,50,45,65,
2024-05-22T23:41:00+02:00,2024-05-23T08:22:00+02:00,20340,10260,0,660,1,120,0,0,0,55,49,83,
2024-05-23T23:38:00+02:00,2024-05-24T07:41:00+02:00,16320,12000,0,660,1,120,0,0,0,52,46,64,
2024-05-24T23:59:00+02:00,2024-05-25T01:18:00+02:00,4620,0,0,120,0,120,0,0,0,52,47,58,
2024-05-25T04:29:00+02:00,2024-05-25T09:55:00+02:00,9360,10080,0,120,0,120,0,0,0,53,48,72,
2024-05-27T23:13:00+02:00,2024-05-28T08:05:00+02:00,20700,10440,0,780,2,120,0,0,0,53,48,63,
2024-05-28T23:48:00+02:00,2024-05-29T08:28:00+02:00,22258,6961,0,1981,4,120,0,0,0,58,53,68,
2024-05-29T23:01:00+02:00,2024-05-30T05:20:00+02:00,16380,5760,0,600,1,120,0,0,0,60,57,71,
2024-05-31T00:04:00+02:00,2024-05-31T08:15:00+02:00,17519,11821,0,120,0,120,0,0,0,57,51,69,
2024-06-01T00:53:00+02:00,2024-06-01T07:29:00+02:00,16320,6840,0,600,1,120,0,0,0,56,51,69,
2024-06-02T00:21:00+02:00,2024-06-02T08:00:00+02:00,16740,9480,0,1320,3,120,0,0,0,54,47,64,
2024-06-03T00:45:00+02:00,2024-06-03T08:28:00+02:00,17099,9241,0,1440,3,120,0,0,0,56,50,66,
2024-06-04T00:02:00+02:00,2024-06-04T07:20:00+02:00,13619,11521,0,1140,2,120,0,0,0,56,47,75,
2024-06-04T22:35:00+02:00,2024-06-05T09:23:00+02:00,18720,16200,0,1560,2,120,840,0,0,58,51,84,
2024-06-06T00:02:00+02:00,2024-06-06T07:32:00+02:00,19740,6600,0,660,1,120,0,0,0,56,48,74,
2024-06-06T23:14:00+02:00,2024-06-07T06:33:00+02:00,16379,9061,0,900,2,120,0,0,0,59,51,72,
2024-06-08T00:33:00+02:00,2024-06-08T07:57:00+02:00,21720,4380,0,540,1,120,0,0,0,0,0,0,
2024-06-09T03:19:00+02:00,2024-06-09T07:13:00+02:00,6060,6660,0,1320,2,120,0,0,0,0,0,0,
2024-06-11T00:44:00+02:00,2024-06-11T08:35:00+02:00,20641,6719,0,900,2,120,0,0,0,60,50,76,
2024-06-12T01:04:00+02:00,2024-06-12T08:12:00+02:00,16440,8340,0,900,2,120,0,0,0,64,55,78,
2024-06-13T01:28:00+02:00,2024-06-13T07:31:00+02:00,15120,5700,0,960,2,120,0,0,0,60,54,86,
2024-06-14T02:06:00+02:00,2024-06-14T09:13:00+02:00,19200,4800,0,1620,3,120,0,0,0,57,49,88,
2024-06-15T00:41:00+02:00,2024-06-15T07:05:00+02:00,14700,4320,0,540,2,120,0,0,0,55,50,62,
2024-06-16T03:34:00+02:00,2024-06-16T10:20:00+02:00,14039,7501,0,240,1,120,0,0,0,64,58,71,
2024-06-16T23:36:00+02:00,2024-06-17T09:27:00+02:00,23700,8700,0,720,2,120,0,0,0,55,50,72,
2024-06-18T00:05:00+02:00,2024-06-18T08:51:00+02:00,20940,10500,0,120,0,120,0,0,0,51,46,64,
2024-06-19T01:19:00+02:00,2024-06-19T08:00:00+02:00,16020,7080,0,960,2,120,0,0,0,57,49,63,
2024-06-20T00:19:00+02:00,2024-06-20T07:21:00+02:00,20580,3660,0,1080,3,120,0,0,0,55,48,80,
2024-06-21T00:26:00+02:00,2024-06-21T09:34:00+02:00,23880,5460,0,2040,4,120,660,0,0,57,51,70,
2024-06-22T02:08:00+02:00,2024-06-22T09:14:00+02:00,18060,5820,0,1680,3,120,0,0,0,54,49,60,
2024-06-23T02:48:00+02:00,2024-06-23T09:27:00+02:00,18300,5520,0,120,0,120,0,0,0,52,45,62,
2024-06-23T23:43:00+02:00,2024-06-24T07:23:00+02:00,16380,10140,0,1080,2,120,0,0,0,56,48,74,
2024-06-24T23:30:00+02:00,2024-06-25T07:51:00+02:00,20159,7980,0,1921,3,120,0,0,0,57,50,71,
2024-06-26T00:50:01+02:00,2024-06-26T08:12:00+02:00,18540,6720,0,1259,1,119,0,0,0,54,46,72,
2024-06-26T23:56:00+02:00,2024-06-27T06:52:00+02:00,17340,7500,0,120,0,120,0,0,0,55,50,62,
2024-06-28T00:08:00+02:00,2024-06-28T09:58:00+02:00,21120,10440,0,1079,3,120,0,0,0,57,48,114,
2024-06-29T01:03:00+02:00,2024-06-29T08:53:00+02:00,17580,8700,0,1920,4,120,0,0,0,54,49,62,
2024-06-30T00:43:00+02:00,2024-06-30T07:45:00+02:00,18720,5880,0,720,1,120,0,0,0,0,0,0,
2024-06-30T23:58:00+02:00,2024-07-01T07:46:00+02:00,22920,4201,0,959,2,120,0,0,0,0,0,0,
2024-07-02T00:34:00+02:00,2024-07-02T14:18:00+02:00,7200,2400,0,39840,3,120,38220,0,0,57,51,64,
2024-07-03T00:01:00+02:00,2024-07-03T08:10:00+02:00,20220,7561,0,1559,3,120,0,0,0,54,49,62,
2024-07-04T00:41:00+02:00,2024-07-04T06:38:00+02:00,16140,4620,0,660,1,120,0,0,0,52,46,62,
2024-07-05T00:43:00+02:00,2024-07-05T08:13:00+02:00,17580,9120,0,300,1,120,0,0,0,54,49,65,
2024-07-05T23:41:00+02:00,2024-07-06T08:21:00+02:00,21600,8580,0,1020,1,120,0,0,0,56,48,72,
2024-07-07T04:11:00+02:00,2024-07-07T11:11:00+02:00,15840,8280,0,1080,2,120,0,0,0,57,49,66,
2024-07-08T00:13:00+02:00,2024-07-08T08:05:00+02:00,17759,9181,0,1380,3,120,0,0,0,60,51,98,
2024-07-09T00:31:00+02:00,2024-07-09T07:46:00+02:00,17400,7500,0,1200,2,120,0,0,0,60,54,85,
2024-07-10T00:38:00+02:00,2024-07-10T08:28:00+02:00,22980,4500,0,720,1,120,0,0,0,59,51,91,
2024-07-11T00:33:00+02:00,2024-07-11T07:53:00+02:00,20160,5100,0,1140,2,120,0,0,0,59,51,70,
2024-07-11T23:57:00+02:00,2024-07-12T08:48:00+02:00,24120,7620,0,120,0,120,0,0,0,55,48,64,
2024-07-12T23:40:00+02:00,2024-07-13T05:40:00+02:00,14520,6000,0,1080,2,120,0,0,0,56,52,73,
2024-07-13T22:20:00+02:00,2024-07-14T07:20:00+02:00,19620,9660,0,3120,6,120,840,0,0,63,54,108,
2024-07-14T23:29:00+02:00,2024-07-15T08:19:00+02:00,22020,7500,0,2280,3,120,0,0,0,62,52,81,
2024-07-16T00:23:00+02:00,2024-07-16T07:31:00+02:00,18180,6180,0,241,1,120,0,0,0,62,54,86,
2024-07-17T00:25:00+02:00,2024-07-17T07:09:00+02:00,16080,6600,0,1560,3,120,0,0,0,60,53,67,
2024-07-18T01:24:00+02:00,2024-07-18T08:10:00+02:00,13561,9839,0,960,2,120,0,0,0,60,52,71,
2024-07-19T01:01:00+02:00,2024-07-19T08:23:00+02:00,21360,5040,0,120,0,120,0,0,0,56,50,68,
2024-07-20T01:49:00+02:00,2024-07-20T08:32:00+02:00,15060,7680,0,1440,2,120,0,0,0,63,55,77,
2024-07-21T00:12:00+02:00,2024-07-21T07:55:00+02:00,14040,12600,0,1140,3,120,0,0,0,0,0,0,
2024-07-22T00:08:00+02:00,2024-07-22T07:57:00+02:00,21720,5940,0,480,1,120,0,0,0,0,0,0,
2024-07-24T01:13:00+02:00,2024-07-24T07:41:00+02:00,15838,6662,0,780,2,120,0,0,0,51,46,87,
2024-07-24T23:40:00+02:00,2024-07-25T07:30:00+02:00,19860,7800,0,540,1,120,0,0,0,50,43,58,
2024-07-26T00:33:00+02:00,2024-07-26T06:54:00+02:00,15300,7440,0,120,0,120,0,0,0,54,48,62,
2024-07-27T01:23:00+02:00,2024-07-27T09:15:00+02:00,19740,8040,0,540,1,120,0,0,0,57,51,76,
2024-07-28T00:23:00+02:00,2024-07-28T08:00:00+02:00,19140,8160,0,120,0,120,0,0,0,58,51,66,
2024-07-28T23:46:00+02:00,2024-07-29T09:35:00+02:00,21480,12120,0,1740,3,120,0,0,0,50,43,72,
2024-07-29T23:21:00+02:00,2024-07-30T08:00:00+02:00,22380,8160,0,600,1,120,0,0,0,48,44,63,
2024-07-31T00:40:00+02:00,2024-07-31T08:09:00+02:00,17280,8940,0,720,2,120,0,0,0,50,45,59,
2024-07-31T23:57:00+02:00,2024-08-01T07:29:00+02:00,21240,5460,0,420,1,120,0,0,0,56,51,81,
2024-08-02T01:48:00+02:00,2024-08-02T08:00:00+02:00,15420,6780,0,120,0,120,0,0,0,61,53,91,
2024-08-03T01:01:00+02:00,2024-08-03T07:16:00+02:00,13680,8160,0,660,1,120,0,0,0,53,45,65,
2024-08-03T22:23:00+02:00,2024-08-04T08:46:00+02:00,20940,12840,0,540,2,120,0,0,0,51,43,68,
2024-08-04T22:20:00+02:00,2024-08-05T07:27:00+02:00,18660,11880,0,2280,5,120,0,0,0,70,57,87,
2024-08-05T23:19:00+02:00,2024-08-06T05:46:00+02:00,14640,7320,0,1260,3,120,0,0,0,59,52,71,
2024-08-06T22:54:00+02:00,2024-08-07T09:08:00+02:00,19079,10681,0,2699,6,120,0,0,0,49,42,67,
2024-08-08T01:11:00+02:00,2024-08-08T07:15:00+02:00,14160,7080,0,600,1,0,0,0,0,53,46,97,
2024-08-08T22:24:00+02:00,2024-08-09T07:06:00+02:00,13620,17580,0,120,0,120,0,0,0,56,53,70,
2024-08-10T00:44:00+02:00,2024-08-10T08:27:00+02:00,19380,7500,0,900,2,120,0,0,0,56,48,68,
2024-08-11T01:09:00+02:00,2024-08-11T07:41:00+02:00,13740,8280,0,1500,3,120,0,0,0,58,53,67,
2024-08-12T00:37:00+02:00,2024-08-12T07:48:00+02:00,14820,10740,0,300,1,120,0,0,0,64,58,93,
2024-08-13T00:55:00+02:00,2024-08-13T07:20:00+02:00,14340,6840,0,1920,5,120,0,0,0,63,55,97,
2024-08-14T01:07:00+02:00,2024-08-14T07:38:00+02:00,14040,8520,0,900,2,120,0,0,0,61,51,84,
2024-08-14T22:54:00+02:00,2024-08-15T08:13:00+02:00,23641,8820,0,1079,1,120,779,0,0,59,49,99,
2024-08-16T00:50:00+02:00,2024-08-16T08:54:00+02:00,19680,8760,0,600,1,120,0,0,0,63,57,77,
2024-08-16T23:50:00+02:00,2024-08-17T07:15:00+02:00,19740,6420,0,540,1,120,0,0,0,61,52,72,
2024-08-18T03:34:00+02:00,2024-08-18T09:36:00+02:00,12840,8760,0,120,0,120,0,0,0,67,59,87,
2024-08-19T22:33:00+02:00,2024-08-20T07:48:00+02:00,25320,6060,0,1920,5,120,0,0,0,63,56,91,
2024-08-21T01:22:00+02:00,2024-08-21T08:00:00+02:00,16200,7560,0,120,0,120,0,0,0,63,54,78,
2024-08-22T00:05:00+02:00,2024-08-22T07:19:00+02:00,19440,4980,0,1620,3,120,0,0,0,58,50,76,
2024-08-22T23:21:00+02:00,2024-08-23T07:51:00+02:00,23160,6240,0,1200,3,120,0,0,0,58,51,90,
2024-08-27T03:22:00+02:00,2024-08-27T09:14:00+02:00,10200,7500,0,240,1,120,0,0,0,69,62,94,
2024-08-27T23:53:00+02:00,2024-08-28T08:39:00+02:00,17040,13920,0,600,1,120,0,0,0,57,48,74,
2024-08-29T00:36:00+02:00,2024-08-29T07:59:00+02:00,17460,8580,0,540,1,120,0,0,0,53,47,62,
2024-08-29T22:37:00+02:00,2024-08-30T09:01:00+02:00,26460,10020,0,960,2,120,0,0,0,58,50,75,
2024-08-31T00:09:00+02:00,2024-08-31T08:04:00+02:00,19320,7560,0,1620,2,120,0,0,0,55,48,66,
2024-08-31T18:30:00+02:00,2024-09-01T05:45:00+02:00,25320,8700,0,1800,4,120,0,0,0,63,50,80,
2024-09-02T00:13:00+02:00,2024-09-02T08:00:00+02:00,20340,7080,0,600,1,120,0,0,0,54,48,72,
2024-09-02T23:42:00+02:00,2024-09-03T08:00:01+02:00,20521,8220,0,1140,2,120,0,0,0,47,43,62,
2024-09-04T01:01:00+02:00,2024-09-04T07:39:00+02:00,13740,10020,0,120,0,120,0,0,0,52,47,62,
2024-09-04T23:07:00+02:00,2024-09-04T23:38:00+02:00,660,1080,0,120,0,120,0,0,0,48,48,49,
2024-09-04T23:07:00+02:00,2024-09-05T08:09:00+02:00,20820,10920,0,780,2,120,0,0,0,50,45,67,
2024-09-06T00:45:00+02:00,2024-09-06T08:15:00+02:00,16202,10678,0,120,0,120,0,0,0,54,46,76,
2024-09-06T23:39:00+02:00,2024-09-07T07:03:00+02:00,19019,7021,0,600,1,120,0,0,0,51,46,60,
2024-09-08T00:46:00+02:00,2024-09-08T08:06:00+02:00,20520,5760,0,120,0,120,0,0,0,50,44,62,
2024-09-09T00:24:00+02:00,2024-09-09T08:06:00+02:00,14940,12660,0,120,0,120,0,0,0,57,50,69,
2024-09-10T00:19:00+02:00,2024-09-10T01:07:00+02:00,2040,720,0,120,0,120,0,0,0,51,50,53,
2024-09-10T00:19:00+02:00,2024-09-10T08:38:00+02:00,18060,11280,0,600,1,0,0,0,0,52,48,61,
2024-09-11T02:27:00+02:00,2024-09-11T07:55:00+02:00,14760,4800,0,120,0,120,0,0,0,60,55,89,
2024-09-11T23:39:00+02:00,2024-09-12T08:20:00+02:00,22500,8460,0,300,1,120,0,0,0,57,51,67,
2024-09-13T00:29:00+02:00,2024-09-13T07:30:00+02:00,16560,8160,0,540,1,120,0,0,0,55,48,73,
2024-10-24T00:45:00+02:00,2024-10-24T08:58:00+02:00,20821,5940,0,1739,5,120,0,0,0,60,50,73,
2024-10-24T23:57:00+02:00,2024-10-25T08:04:00+02:00,19800,8640,0,780,2,120,0,0,0,60,52,73,
2024-10-25T23:39:00+02:00,2024-10-26T09:24:00+02:00,19920,15060,0,120,0,120,0,0,0,64,55,86,
2024-10-26T23:43:00+02:00,2024-10-27T09:47:00+01:00,23640,15120,0,1080,2,120,0,0,0,57,52,82,
2024-10-28T23:52:00+01:00,2024-10-29T07:23:00+01:00,17760,9180,0,120,0,120,0,0,0,0,0,0,
2024-11-05T00:46:00+01:00,2024-11-05T08:21:00+01:00,17760,9420,0,120,0,120,0,0,0,56,50,85,
2024-11-06T00:51:00+01:00,2024-11-06T08:32:00+01:00,20460,7200,0,0,0,0,0,0,0,59,53,70,
2024-11-06T23:56:00+01:00,2024-11-07T07:45:00+01:00,20340,7680,0,120,0,120,0,0,0,58,48,76,
2024-11-07T23:47:00+01:00,2024-11-08T06:43:00+01:00,14820,10020,0,120,0,120,0,0,0,59,51,68,
2024-11-09T01:24:00+01:00,2024-11-09T08:37:00+01:00,17280,8220,0,480,1,120,0,0,0,57,51,66,
2024-11-09T23:48:00+01:00,2024-11-10T08:11:00+01:00,18720,10920,0,540,1,120,0,0,0,56,51,76,
2024-11-12T00:54:00+01:00,2024-11-12T01:34:00+01:00,180,2100,0,120,0,120,0,0,0,0,0,0,
2024-11-12T23:58:00+01:00,2024-11-13T07:41:00+01:00,15120,12540,0,120,0,120,0,0,0,0,0,0,
2024-11-14T01:14:00+01:00,2024-11-14T08:22:00+01:00,13560,12000,0,120,0,120,0,0,0,58,50,64,
2024-11-15T00:58:00+01:00,2024-11-15T08:37:00+01:00,18060,9360,0,120,0,120,0,0,0,60,55,84,
2024-11-16T02:42:00+01:00,2024-11-16T09:21:00+01:00,14700,8640,0,600,1,120,0,0,0,65,58,81,
2024-11-17T00:42:00+01:00,2024-11-17T09:07:00+01:00,22560,7620,0,120,0,120,0,0,0,62,54,99,
2024-11-17T21:50:00+01:00,2024-11-17T22:56:00+01:00,1260,1680,0,1020,1,120,0,0,0,57,51,72,
2024-11-17T21:50:00+01:00,2024-11-18T06:06:00+01:00,15540,13200,0,1020,1,0,0,0,0,57,45,86,
2024-11-17T21:50:00+01:00,2024-11-18T06:06:00+01:00,15540,13200,0,1020,1,120,0,0,0,57,45,86,
2024-11-17T21:50:00+01:00,2024-11-18T07:44:00+01:00,19920,14700,0,1020,1,120,0,0,0,57,45,86,
2024-11-19T00:49:00+01:00,2024-11-19T05:43:00+01:00,13440,3720,0,480,1,120,0,0,0,56,50,64,
2024-11-20T00:12:00+01:00,2024-11-20T08:38:00+01:00,21420,8820,0,120,0,120,0,0,0,60,55,73,
2024-11-21T00:56:00+01:00,2024-11-21T08:50:00+01:00,18419,9001,0,1020,2,120,0,0,0,59,50,69,
2024-11-22T00:04:00+01:00,2024-11-22T07:43:00+01:00,20220,6660,0,660,1,120,0,0,0,59,54,69,
2024-11-23T01:42:00+01:00,2024-11-23T07:15:00+01:00,13440,6420,0,120,0,120,0,0,0,74,66,88,
2024-11-23T23:53:00+01:00,2024-11-24T07:42:00+01:00,19320,8220,0,600,1,120,0,0,0,66,57,81,
2024-11-24T23:03:00+01:00,2024-11-25T07:19:00+01:00,14100,14940,0,720,1,120,0,0,0,63,55,71,
