date,semester_break,school_holiday,public_holiday
2018-09-29,1,0,0
2018-09-30,1,0,0
2018-10-01,1,0,0
2018-10-02,1,0,0
2018-10-03,1,0,1
2018-10-04,1,0,0
2018-10-05,1,0,0
2018-10-06,1,0,0
2018-10-07,1,0,0
2018-10-08,1,0,0
2018-10-09,1,0,0
2018-10-10,1,0,0
2018-10-11,1,0,0
2018-10-12,1,0,0
2018-10-13,1,0,0
2018-10-14,1,0,0
2018-10-15,1,0,0
2018-10-29,0,1,0
2018-10-30,0,1,0
2018-10-31,0,1,0
2018-11-01,0,1,1
2018-11-02,0,1,0
2018-12-24,0,1,0
2018-12-25,0,1,1
2018-12-26,0,1,1
2018-12-27,0,1,0
2018-12-28,0,1,0
2018-12-29,0,1,0
2018-12-30,0,1,0
2018-12-31,0,1,0
2019-01-01,0,1,1
2019-01-02,0,1,0
2019-01-03,0,1,0
2019-01-04,0,1,0
2019-01-05,0,1,0
2019-01-06,0,0,1
2019-02-09,1,0,0
2019-02-10,1,0,0
2019-02-11,1,0,0
2019-02-12,1,0,0
2019-02-13,1,0,0
2019-02-14,1,0,0
2019-02-15,1,0,0
2019-02-16,1,0,0
2019-02-17,1,0,0
2019-02-18,1,0,0
2019-02-19,1,0,0
2019-02-20,1,0,0
2019-02-21,1,0,0
2019-02-22,1,0,0
2019-02-23,1,0,0
2019-02-24,1,0,0
2019-02-25,1,0,0
2019-02-26,1,0,0
2019-02-27,1,0,0
2019-02-28,1,0,0
2019-03-01,1,0,0
2019-03-02,1,0,0
2019-03-03,1,0,0
2019-03-04,1,0,0
2019-03-05,1,0,0
2019-03-06,1,0,0
2019-03-07,1,0,0
2019-03-08,1,0,0
2019-03-09,1,0,0
2019-03-10,1,0,0
2019-03-11,1,0,0
2019-03-12,1,0,0
2019-03-13,1,0,0
2019-03-14,1,0,0
2019-03-15,1,0,0
2019-03-16,1,0,0
2019-03-17,1,0,0
2019-03-18,1,0,0
2019-03-19,1,0,0
2019-03-20,1,0,0
2019-03-21,1,0,0
2019-03-22,1,0,0
2019-03-23,1,0,0
2019-03-24,1,0,0
2019-03-25,1,0,0
2019-03-26,1,0,0
2019-03-27,1,0,0
2019-03-28,1,0,0
2019-03-29,1,0,0
2019-03-30,1,0,0
2019-03-31,1,0,0
2019-04-01,1,0,0
2019-04-02,1,0,0
2019-04-03,1,0,0
2019-04-04,1,0,0
2019-04-05,1,0,0
2019-04-06,1,0,0
2019-04-07,1,0,0
2019-04-08,1,0,0
2019-04-09,1,0,0
2019-04-10,1,0,0
2019-04-11,1,0,0
2019-04-12,1,0,0
2019-04-13,1,0,0
2019-04-14,1,0,0
2019-04-15,1,1,0
2019-04-16,0,1,0
2019-04-17,0,1,0
2019-04-18,0,1,0
2019-04-19,0,1,1
2019-04-20,0,1,0
2019-04-21,0,1,0
2019-04-22,0,1,1
2019-04-23,0,1,0
2019-04-24,0,1,0
2019-04-25,0,1,0
2019-04-26,0,1,0
2019-04-27,0,1,0
2019-05-01,0,0,1
2019-05-30,0,0,1
2019-06-10,0,0,1
2019-06-11,0,1,0
2019-06-12,0,1,0
2019-06-13,0,1,0
2019-06-14,0,1,0
2019-06-15,0,1,0
2019-06-16,0,1,0
2019-06-17,0,1,0
2019-06-18,0,1,0
2019-06-19,0,1,0
2019-06-20,0,1,1
2019-06-21,0,1,0
2019-07-27,1,0,0
2019-07-28,1,0,0
2019-07-29,1,1,0
2019-07-30,1,1,0
2019-07-31,1,1,0
2019-08-01,1,1,0
2019-08-02,1,1,0
2019-08-03,1,1,0
2019-08-04,1,1,0
2019-08-05,1,1,0
2019-08-06,1,1,0
2019-08-07,1,1,0
2019-08-08,1,1,0
2019-08-09,1,1,0
2019-08-10,1,1,0
2019-08-11,1,1,0
2019-08-12,1,1,0
2019-08-13,1,1,0
2019-08-14,1,1,0
2019-08-15,1,1,0
2019-08-16,1,1,0
2019-08-17,1,1,0
2019-08-18,1,1,0
2019-08-19,1,1,0
2019-08-20,1,1,0
2019-08-21,1,1,0
2019-08-22,1,1,0
2019-08-23,1,1,0
2019-08-24,1,1,0
2019-08-25,1,1,0
2019-08-26,1,1,0
2019-08-27,1,1,0
2019-08-28,1,1,0
2019-08-29,1,1,0
2019-08-30,1,1,0
2019-08-31,1,1,0
2019-09-01,1,1,0
2019-09-02,1,1,0
2019-09-03,1,1,0
2019-09-04,1,1,0
2019-09-05,1,1,0
2019-09-06,1,1,0
2019-09-07,1,1,0
2019-09-08,1,1,0
2019-09-09,1,1,0
2019-09-10,1,1,0
2019-09-11,1,0,0
2019-09-12,1,0,0
2019-09-13,1,0,0
2019-09-14,1,0,0
2019-09-15,1,0,0
2019-09-16,1,0,0
2019-09-17,1,0,0
2019-09-18,1,0,0
2019-09-19,1,0,0
2019-09-20,1,0,0
2019-09-21,1,0,0
2019-09-22,1,0,0
2019-09-23,1,0,0
2019-09-24,1,0,0
2019-09-25,1,0,0
2019-09-26,1,0,0
2019-09-27,1,0,0
2019-09-28,1,0,0
2019-09-29,1,0,0
2019-09-30,1,0,0
2019-10-01,1,0,0
2019-10-02,1,0,0
2019-10-03,1,0,1
2019-10-04,1,0,0
2019-10-05,1,0,0
2019-10-06,1,0,0
2019-10-07,1,0,0
2019-10-08,1,0,0
2019-10-09,1,0,0
2019-10-10,1,0,0
2019-10-11,1,0,0
2019-10-12,1,0,0
2019-10-13,1,0,0
2019-10-14,1,0,0
2019-10-28,0,1,0
2019-10-29,0,1,0
2019-10-30,0,1,0
2019-10-31,0,1,0
2019-11-01,0,0,1
2019-12-23,0,1,0
2019-12-24,0,1,0
2019-12-25,0,1,1
2019-12-26,0,1,1
2019-12-27,0,1,0
2019-12-28,0,1,0
2019-12-29,0,1,0
2019-12-30,0,1,0
2019-12-31,0,1,0
2020-01-01,0,1,1
2020-01-02,0,1,0
2020-01-03,0,1,0
2020-01-04,0,1,0
2020-01-06,0,0,1
2020-02-08,1,0,0
2020-02-09,1,0,0
2020-02-10,1,0,0
2020-02-11,1,0,0
2020-02-12,1,0,0
2020-02-13,1,0,0
2020-02-14,1,0,0
2020-02-15,1,0,0
2020-02-16,1,0,0
2020-02-17,1,0,0
2020-02-18,1,0,0
2020-02-19,1,0,0
2020-02-20,1,0,0
2020-02-21,1,0,0
2020-02-22,1,0,0
2020-02-23,1,0,0
2020-02-24,1,0,0
2020-02-25,1,0,0
2020-02-26,1,0,0
2020-02-27,1,0,0
2020-02-28,1,0,0
2020-02-29,1,0,0
2020-03-01,1,0,0
2020-03-02,1,0,0
2020-03-03,1,0,0
2020-03-04,1,0,0
2020-03-05,1,0,0
2020-03-06,1,0,0
2020-03-07,1,0,0
2020-03-08,1,0,0
2020-03-09,1,0,0
2020-03-10,1,0,0
2020-03-11,1,0,0
2020-03-12,1,0,0
2020-03-13,1,0,0
2020-03-14,1,0,0
2020-03-15,1,0,0
2020-03-16,1,0,0
2020-03-17,1,0,0
2020-03-18,1,0,0
2020-03-19,1,0,0
2020-03-20,1,0,0
2020-03-21,1,0,0
2020-03-22,1,0,0
2020-03-23,1,0,0
2020-03-24,1,0,0
2020-03-25,1,0,0
2020-03-26,1,0,0
2020-03-27,1,0,0
2020-03-28,1,0,0
2020-03-29,1,0,0
2020-03-30,1,0,0
2020-03-31,1,0,0
2020-04-01,1,0,0
2020-04-02,1,0,0
2020-04-03,1,0,0
2020-04-04,1,0,0
2020-04-05,1,0,0
2020-04-06,1,1,0
2020-04-07,1,1,0
2020-04-08,1,1,0
2020-04-09,1,1,0
2020-04-10,1,1,1
2020-04-11,1,1,0
2020-04-12,1,1,0
2020-04-13,1,1,1
2020-04-14,1,1,0
2020-04-15,1,1,0
2020-04-16,1,1,0
2020-04-17,1,1,0
2020-04-18,1,1,0
2020-04-19,1,0,0
2020-04-20,1,0,0
2020-05-01,0,0,1
2020-05-21,0,0,1
2020-06-01,0,0,1
2020-06-02,0,1,0
2020-06-03,0,1,0
2020-06-04,0,1,0
2020-06-05,0,1,0
2020-06-06,0,1,0
2020-06-07,0,1,0
2020-06-08,0,1,0
2020-06-09,0,1,0
2020-06-10,0,1,0
2020-06-11,0,1,1
2020-06-12,0,1,0
2020-06-13,0,1,0
2020-07-25,1,0,0
2020-07-26,1,0,0
2020-07-27,1,0,0
2020-07-28,1,0,0
2020-07-29,1,0,0
2020-07-30,1,1,0
2020-07-31,1,1,0
2020-08-01,1,1,0
2020-08-02,1,1,0
2020-08-03,1,1,0
2020-08-04,1,1,0
2020-08-05,1,1,0
2020-08-06,1,1,0
2020-08-07,1,1,0
2020-08-08,1,1,0
2020-08-09,1,1,0
2020-08-10,1,1,0
2020-08-11,1,1,0
2020-08-12,1,1,0
2020-08-13,1,1,0
2020-08-14,1,1,0
2020-08-15,1,1,0
2020-08-16,1,1,0
2020-08-17,1,1,0
2020-08-18,1,1,0
2020-08-19,1,1,0
2020-08-20,1,1,0
2020-08-21,1,1,0
2020-08-22,1,1,0
2020-08-23,1,1,0
2020-08-24,1,1,0
2020-08-25,1,1,0
2020-08-26,1,1,0
2020-08-27,1,1,0
2020-08-28,1,1,0
2020-08-29,1,1,0
2020-08-30,1,1,0
2020-08-31,1,1,0
2020-09-01,1,1,0
2020-09-02,1,1,0
2020-09-03,1,1,0
2020-09-04,1,1,0
2020-09-05,1,1,0
2020-09-06,1,1,0
2020-09-07,1,1,0
2020-09-08,1,1,0
2020-09-09,1,1,0
2020-09-10,1,1,0
2020-09-11,1,1,0
2020-09-12,1,1,0
2020-09-13,1,0,0
2020-09-14,1,0,0
2020-09-15,1,0,0
2020-09-16,1,0,0
2020-09-17,1,0,0
2020-09-18,1,0,0
2020-09-19,1,0,0
2020-09-20,1,0,0
2020-09-21,1,0,0
2020-09-22,1,0,0
2020-09-23,1,0,0
2020-09-24,1,0,0
2020-09-25,1,0,0
2020-09-26,1,0,0
2020-09-27,1,0,0
2020-09-28,1,0,0
2020-09-29,1,0,0
2020-09-30,1,0,0
2020-10-01,1,0,0
2020-10-02,1,0,0
2020-10-03,1,0,1
2020-10-04,1,0,0
2020-10-05,1,0,0
2020-10-06,1,0,0
2020-10-07,1,0,0
2020-10-08,1,0,0
2020-10-09,1,0,0
2020-10-10,1,0,0
2020-10-11,1,0,0
2020-10-12,1,0,0
2020-10-13,1,0,0
2020-10-14,1,0,0
2020-10-15,1,0,0
2020-10-16,1,0,0
2020-10-17,1,0,0
2020-10-18,1,0,0
2020-10-19,1,0,0
2020-10-20,1,0,0
2020-10-21,1,0,0
2020-10-22,1,0,0
2020-10-23,1,0,0
2020-10-24,1,0,0
2020-10-25,1,0,0
2020-10-26,1,1,0
2020-10-27,1,1,0
2020-10-28,1,1,0
2020-10-29,1,1,0
2020-10-30,1,1,0
2020-10-31,1,0,0
2020-11-01,1,0,1
2020-11-02,1,0,0
2020-12-23,0,1,0
2020-12-24,0,1,0
2020-12-25,0,1,1
2020-12-26,0,1,1
2020-12-27,0,1,0
2020-12-28,0,1,0
2020-12-29,0,1,0
2020-12-30,0,1,0
2020-12-31,0,1,0
2021-01-01,0,1,1
2021-01-02,0,1,0
2021-01-03,0,1,0
2021-01-04,0,1,0
2021-01-05,0,1,0
2021-01-06,0,1,1
2021-01-07,0,1,0
2021-01-08,0,1,0
2021-01-09,0,1,0
2021-02-27,1,0,0
2021-02-28,1,0,0
2021-03-01,1,0,0
2021-03-02,1,0,0
2021-03-03,1,0,0
2021-03-04,1,0,0
2021-03-05,1,0,0
2021-03-06,1,0,0
2021-03-07,1,0,0
2021-03-08,1,0,0
2021-03-09,1,0,0
2021-03-10,1,0,0
2021-03-11,1,0,0
2021-03-12,1,0,0
2021-03-13,1,0,0
2021-03-14,1,0,0
2021-03-15,1,0,0
2021-03-16,1,0,0
2021-03-17,1,0,0
2021-03-18,1,0,0
2021-03-19,1,0,0
2021-03-20,1,0,0
2021-03-21,1,0,0
2021-03-22,1,0,0
2021-03-23,1,0,0
2021-03-24,1,0,0
2021-03-25,1,0,0
2021-03-26,1,0,0
2021-03-27,1,0,0
2021-03-28,1,0,0
2021-03-29,1,0,0
2021-03-30,1,0,0
2021-03-31,1,0,0
2021-04-01,1,1,0
2021-04-02,1,1,1
2021-04-03,1,1,0
2021-04-04,1,1,0
2021-04-05,1,1,1
2021-04-06,1,1,0
2021-04-07,1,1,0
2021-04-08,1,1,0
2021-04-09,1,1,0
2021-04-10,1,1,0
2021-04-11,1,0,0
2021-04-12,1,0,0
2021-04-13,1,0,0
2021-04-14,1,0,0
2021-04-15,1,0,0
2021-04-16,1,0,0
2021-04-17,1,0,0
2021-04-18,1,0,0
2021-04-19,1,0,0
2021-05-01,0,0,1
2021-05-13,0,0,1
2021-05-24,0,0,1
2021-05-25,0,1,0
2021-05-26,0,1,0
2021-05-27,0,1,0
2021-05-28,0,1,0
2021-05-29,0,1,0
2021-05-30,0,1,0
2021-05-31,0,1,0
2021-06-01,0,1,0
2021-06-02,0,1,0
2021-06-03,0,1,1
2021-06-04,0,1,0
2021-06-05,0,1,0
2021-07-29,0,1,0
2021-07-30,0,1,0
2021-07-31,1,1,0
2021-08-01,1,1,0
2021-08-02,1,1,0
2021-08-03,1,1,0
2021-08-04,1,1,0
2021-08-05,1,1,0
2021-08-06,1,1,0
2021-08-07,1,1,0
2021-08-08,1,1,0
2021-08-09,1,1,0
2021-08-10,1,1,0
2021-08-11,1,1,0
2021-08-12,1,1,0
2021-08-13,1,1,0
2021-08-14,1,1,0
2021-08-15,1,1,0
2021-08-16,1,1,0
2021-08-17,1,1,0
2021-08-18,1,1,0
2021-08-19,1,1,0
2021-08-20,1,1,0
2021-08-21,1,1,0
2021-08-22,1,1,0
2021-08-23,1,1,0
2021-08-24,1,1,0
2021-08-25,1,1,0
2021-08-26,1,1,0
2021-08-27,1,1,0
2021-08-28,1,1,0
2021-08-29,1,1,0
2021-08-30,1,1,0
2021-08-31,1,1,0
2021-09-01,1,1,0
2021-09-02,1,1,0
2021-09-03,1,1,0
2021-09-04,1,1,0
2021-09-05,1,1,0
2021-09-06,1,1,0
2021-09-07,1,1,0
2021-09-08,1,1,0
2021-09-09,1,1,0
2021-09-10,1,1,0
2021-09-11,1,1,0
2021-09-12,1,0,0
2021-09-13,1,0,0
2021-09-14,1,0,0
2021-09-15,1,0,0
2021-09-16,1,0,0
2021-09-17,1,0,0
2021-09-18,1,0,0
2021-09-19,1,0,0
2021-09-20,1,0,0
2021-09-21,1,0,0
2021-09-22,1,0,0
2021-09-23,1,0,0
2021-09-24,1,0,0
2021-09-25,1,0,0
2021-09-26,1,0,0
2021-09-27,1,0,0
2021-09-28,1,0,0
2021-09-29,1,0,0
2021-09-30,1,0,0
2021-10-01,1,0,0
2021-10-02,1,0,0
2021-10-03,1,0,1
2021-10-04,1,0,0
2021-10-05,1,0,0
2021-10-06,1,0,0
2021-10-07,1,0,0
2021-10-08,1,0,0
2021-10-09,1,0,0
2021-10-10,1,0,0
2021-10-11,1,0,0
2021-10-12,1,0,0
2021-10-13,1,0,0
2021-10-14,1,0,0
2021-10-15,1,0,0
2021-10-16,1,0,0
2021-10-17,1,0,0
2021-10-18,1,0,0
2021-11-01,0,0,1
2021-11-02,0,1,0
2021-11-03,0,1,0
2021-11-04,0,1,0
2021-11-05,0,1,0
2021-11-06,0,1,0
2021-12-23,0,1,0
2021-12-24,0,1,0
2021-12-25,0,1,1
2021-12-26,0,1,1
2021-12-27,0,1,0
2021-12-28,0,1,0
2021-12-29,0,1,0
2021-12-30,0,1,0
2021-12-31,0,1,0
2022-01-01,0,1,1
2022-01-02,0,1,0
2022-01-03,0,1,0
2022-01-04,0,1,0
2022-01-05,0,1,0
2022-01-06,0,1,1
2022-01-07,0,1,0
2022-01-08,0,1,0
2022-02-12,1,0,0
2022-02-13,1,0,0
2022-02-14,1,0,0
2022-02-15,1,0,0
2022-02-16,1,0,0
2022-02-17,1,0,0
2022-02-18,1,0,0
2022-02-19,1,0,0
2022-02-20,1,0,0
2022-02-21,1,0,0
2022-02-22,1,0,0
2022-02-23,1,0,0
2022-02-24,1,0,0
2022-02-25,1,0,0
2022-02-26,1,0,0
2022-02-27,1,0,0
2022-02-28,1,0,0
2022-03-01,1,0,0
2022-03-02,1,0,0
2022-03-03,1,0,0
2022-03-04,1,0,0
2022-03-05,1,0,0
2022-03-06,1,0,0
2022-03-07,1,0,0
2022-03-08,1,0,0
2022-03-09,1,0,0
2022-03-10,1,0,0
2022-03-11,1,0,0
2022-03-12,1,0,0
2022-03-13,1,0,0
2022-03-14,1,0,0
2022-03-15,1,0,0
2022-03-16,1,0,0
2022-03-17,1,0,0
2022-03-18,1,0,0
2022-03-19,1,0,0
2022-03-20,1,0,0
2022-03-21,1,0,0
2022-03-22,1,0,0
2022-03-23,1,0,0
2022-03-24,1,0,0
2022-03-25,1,0,0
2022-03-26,1,0,0
2022-03-27,1,0,0
2022-03-28,1,0,0
2022-03-29,1,0,0
2022-03-30,1,0,0
2022-03-31,1,0,0
2022-04-01,1,0,0
2022-04-02,1,0,0
2022-04-03,1,0,0
2022-04-04,1,0,0
2022-04-05,1,0,0
2022-04-06,1,0,0
2022-04-07,1,0,0
2022-04-08,1,0,0
2022-04-09,1,0,0
2022-04-10,1,0,0
2022-04-11,1,0,0
2022-04-12,1,0,0
2022-04-13,1,0,0
2022-04-14,1,1,0
2022-04-15,1,1,1
2022-04-16,1,1,0
2022-04-17,1,1,0
2022-04-18,1,1,1
2022-04-19,1,1,0
2022-04-20,0,1,0
2022-04-21,0,1,0
2022-04-22,0,1,0
2022-04-23,0,1,0
2022-05-01,0,0,1
2022-05-26,0,0,1
2022-06-06,0,0,1
2022-06-07,0,1,0
2022-06-08,0,1,0
2022-06-09,0,1,0
2022-06-10,0,1,0
2022-06-11,0,1,0
2022-06-12,0,1,0
2022-06-13,0,1,0
2022-06-14,0,1,0
2022-06-15,0,1,0
2022-06-16,0,1,1
2022-06-17,0,1,0
2022-06-18,0,1,0
2022-07-28,0,1,0
2022-07-29,0,1,0
2022-07-30,1,1,0
2022-07-31,1,1,0
2022-08-01,1,1,0
2022-08-02,1,1,0
2022-08-03,1,1,0
2022-08-04,1,1,0
2022-08-05,1,1,0
2022-08-06,1,1,0
2022-08-07,1,1,0
2022-08-08,1,1,0
2022-08-09,1,1,0
2022-08-10,1,1,0
2022-08-11,1,1,0
2022-08-12,1,1,0
2022-08-13,1,1,0
2022-08-14,1,1,0
2022-08-15,1,1,0
2022-08-16,1,1,0
2022-08-17,1,1,0
2022-08-18,1,1,0
2022-08-19,1,1,0
2022-08-20,1,1,0
2022-08-21,1,1,0
2022-08-22,1,1,0
2022-08-23,1,1,0
2022-08-24,1,1,0
2022-08-25,1,1,0
2022-08-26,1,1,0
2022-08-27,1,1,0
2022-08-28,1,1,0
2022-08-29,1,1,0
2022-08-30,1,1,0
2022-08-31,1,1,0
2022-09-01,1,1,0
2022-09-02,1,1,0
2022-09-03,1,1,0
2022-09-04,1,1,0
2022-09-05,1,1,0
2022-09-06,1,1,0
2022-09-07,1,1,0
2022-09-08,1,1,0
2022-09-09,1,1,0
2022-09-10,1,1,0
2022-09-11,1,0,0
2022-09-12,1,0,0
2022-09-13,1,0,0
2022-09-14,1,0,0
2022-09-15,1,0,0
2022-09-16,1,0,0
2022-09-17,1,0,0
2022-09-18,1,0,0
2022-09-19,1,0,0
2022-09-20,1,0,0
2022-09-21,1,0,0
2022-09-22,1,0,0
2022-09-23,1,0,0
2022-09-24,1,0,0
2022-09-25,1,0,0
2022-09-26,1,0,0
2022-09-27,1,0,0
2022-09-28,1,0,0
2022-09-29,1,0,0
2022-09-30,1,0,0
2022-10-01,1,0,0
2022-10-02,1,0,0
2022-10-03,1,0,1
2022-10-04,1,0,0
2022-10-05,1,0,0
2022-10-06,1,0,0
2022-10-07,1,0,0
2022-10-08,1,0,0
2022-10-09,1,0,0
2022-10-10,1,0,0
2022-10-11,1,0,0
2022-10-12,1,0,0
2022-10-13,1,0,0
2022-10-14,1,0,0
2022-10-15,1,0,0
2022-10-16,1,0,0
2022-10-17,1,0,0
2022-10-31,0,1,0
2022-11-01,0,1,1
2022-11-02,0,1,0
2022-11-03,0,1,0
2022-11-04,0,1,0
2022-12-21,0,1,0
2022-12-22,0,1,0
2022-12-23,0,1,0
2022-12-24,0,1,0
2022-12-25,0,1,1
2022-12-26,0,1,1
2022-12-27,0,1,0
2022-12-28,0,1,0
2022-12-29,0,1,0
2022-12-30,0,1,0
2022-12-31,0,1,0
2023-01-01,0,1,1
2023-01-02,0,1,0
2023-01-03,0,1,0
2023-01-04,0,1,0
2023-01-05,0,1,0
2023-01-06,0,1,1
2023-01-07,0,1,0
2023-02-11,1,0,0
2023-02-12,1,0,0
2023-02-13,1,0,0
2023-02-14,1,0,0
2023-02-15,1,0,0
2023-02-16,1,0,0
2023-02-17,1,0,0
2023-02-18,1,0,0
2023-02-19,1,0,0
2023-02-20,1,0,0
2023-02-21,1,0,0
2023-02-22,1,0,0
2023-02-23,1,0,0
2023-02-24,1,0,0
2023-02-25,1,0,0
2023-02-26,1,0,0
2023-02-27,1,0,0
2023-02-28,1,0,0
2023-03-01,1,0,0
2023-03-02,1,0,0
2023-03-03,1,0,0
2023-03-04,1,0,0
2023-03-05,1,0,0
2023-03-06,1,0,0
2023-03-07,1,0,0
2023-03-08,1,0,0
2023-03-09,1,0,0
2023-03-10,1,0,0
2023-03-11,1,0,0
2023-03-12,1,0,0
2023-03-13,1,0,0
2023-03-14,1,0,0
2023-03-15,1,0,0
2023-03-16,1,0,0
2023-03-17,1,0,0
2023-03-18,1,0,0
2023-03-19,1,0,0
2023-03-20,1,0,0
2023-03-21,1,0,0
2023-03-22,1,0,0
2023-03-23,1,0,0
2023-03-24,1,0,0
2023-03-25,1,0,0
2023-03-26,1,0,0
2023-03-27,1,0,0
2023-03-28,1,0,0
2023-03-29,1,0,0
2023-03-30,1,0,0
2023-03-31,1,0,0
2023-04-01,1,0,0
2023-04-02,1,0,0
2023-04-03,1,0,0
2023-04-04,1,0,0
2023-04-05,1,0,0
2023-04-06,1,1,0
2023-04-07,1,1,1
2023-04-08,1,1,0
2023-04-09,1,1,0
2023-04-10,1,1,1
2023-04-11,1,1,0
2023-04-12,1,1,0
2023-04-13,1,1,0
2023-04-14,1,1,0
2023-04-15,1,1,0
2023-04-16,1,0,0
2023-04-17,1,0,0
2023-05-01,0,0,1
2023-05-18,0,0,1
2023-05-29,0,0,1
2023-05-30,0,1,0
2023-05-31,0,1,0
2023-06-01,0,1,0
2023-06-02,0,1,0
2023-06-03,0,1,0
2023-06-04,0,1,0
2023-06-05,0,1,0
2023-06-06,0,1,0
2023-06-07,0,1,0
2023-06-08,0,1,1
2023-06-09,0,1,0
2023-07-27,0,1,0
2023-07-28,0,1,0
2023-07-29,1,1,0
2023-07-30,1,1,0
2023-07-31,1,1,0
2023-08-01,1,1,0
2023-08-02,1,1,0
2023-08-03,1,1,0
2023-08-04,1,1,0
2023-08-05,1,1,0
2023-08-06,1,1,0
2023-08-07,1,1,0
2023-08-08,1,1,0
2023-08-09,1,1,0
2023-08-10,1,1,0
2023-08-11,1,1,0
2023-08-12,1,1,0
2023-08-13,1,1,0
2023-08-14,1,1,0
2023-08-15,1,1,0
2023-08-16,1,1,0
2023-08-17,1,1,0
2023-08-18,1,1,0
2023-08-19,1,1,0
2023-08-20,1,1,0
2023-08-21,1,1,0
2023-08-22,1,1,0
2023-08-23,1,1,0
2023-08-24,1,1,0
2023-08-25,1,1,0
2023-08-26,1,1,0
2023-08-27,1,1,0
2023-08-28,1,1,0
2023-08-29,1,1,0
2023-08-30,1,1,0
2023-08-31,1,1,0
2023-09-01,1,1,0
2023-09-02,1,1,0
2023-09-03,1,1,0
2023-09-04,1,1,0
2023-09-05,1,1,0
2023-09-06,1,1,0
2023-09-07,1,1,0
2023-09-08,1,1,0
2023-09-09,1,1,0
