Year;Country;Country Abbreviation;Percentage of Workforce Working Remotely;Average Urban Housing Price Index;Urban Population Growth Rate (%);Rural Population Growth Rate (%);Public Transport Ridership Change (%);Internet Infrastructure Investment (Million USD);Environmental Impact Score (1-100)
2015;China;CN;24.68637149;170.9886171;3.782473412;2.29819433;-20.87058546;582.6443802;53.90075181
2008;Germany;DE;8.784806275;83.74197621;-0.6295541;2.549926114;-24.28496155;240.267917;64.33278
2010;United States;US;33.30242811;187.3462672;-1.253848788;2.718763742;3.836857587;242.5010024;48.72830138
2017;Germany;DE;21.67889662;89.01653381;-1.290054201;1.377719633;-17.29652819;561.4153461;49.477333
2011;Germany;DE;41.98370267;86.17109762;4.286213843;1.235296625;-10.13218309;751.0215237;55.19006092
2023;United States;US;46.88407965;112.6768792;2.673153699;1.233286808;8.204608292;688.8374731;59.44521941
2022;Germany;DE;21.93168135;109.568244;3.621181285;0.49411906;-1.720940502;798.0176754;42.64660755
2016;China;CN;45.68714125;163.5224742;3.474196614;2.36534203;-20.1358546;647.0051338;42.01398108
2018;United States;US;49.57273139;96.72272889;1.969113827;0.100840801;-16.04717864;477.7415338;70.01063056
2013;China;CN;31.54629591;100.8674299;3.286892943;2.814914455;-17.88337085;115.593611;78.78894531
2019;Germany;DE;47.62618598;139.4589579;-0.202564026;2.358834598;-9.554834431;400.0264739;62.63126219
2018;Germany;DE;41.57598053;167.3826507;1.401102314;0.155869733;-29.99461228;305.4108387;67.0957252
2011;China;CN;5.654509955;191.330274;2.365099816;0.911839204;-11.68016964;67.21783899;79.34268826
2013;United States;US;41.15664187;82.696317;-1.662515728;2.278194787;-10.49488761;696.1062912;50.52989386
2022;China;CN;43.80636689;151.1527922;-1.386500773;0.332968408;7.708972764;844.311818;50.11432473
2015;Germany;DE;49.39878103;172.5094644;4.541052188;1.537507946;-27.82671861;924.728278;45.01945187
2018;Germany;DE;41.57598053;167.3826507;1.401102314;0.155869733;-29.99461228;305.4108387;67.0957252
2012;United States;US;38.07819697;131.0256205;4.99589608;0.815849178;-26.45581144;716.0826147;49.98675811
