Warship ;Tier ;Type ;Nation ;Battles ;Win rate ;Avg. frags ;Avg. damage ;Avg. experience ;Avg. planes destroyed ;Kills / deaths
Yugumo ;9;Destroyer ;Japan ;7 782 386 ;48.49 % ;0.67 ;35 658 ;1 394 ;0.62 ;1.08
Izumo ;9;Battleship ;Japan ;7 563 872 ;48.2 % ;0.61 ;61 387 ;1 479 ;1.66 ;1.02
Aoba ;6;Cruiser ;Japan ;7 555 993 ;50.46 % ;0.59 ;27 390 ;1 087 ;1.47 ;0.9
Furutaka ;5;Cruiser ;Japan ;7 527 144 ;49.92 % ;0.54 ;21 359 ;865;0.63 ;0.76
Roon ;9;Cruiser ;Germany ;7 223 689 ;49.39 % ;0.55 ;51 903 ;1 445 ;1.57 ;1.1
Fiji ;7;Cruiser ;U.K. ;7 101 497 ;52.36 % ;0.82 ;40 448 ;1 347 ;1.72 ;1.39
Fletcher ;9;Destroyer ;U.S.A. ;7 045 190 ;49.87 % ;0.7 ;36 300 ;1 490 ;1.26 ;1.1
Isokaze ;4;Destroyer ;Japan ;6 908 511 ;50.53 % ;0.87 ;23 016 ;703;0.1 ;1.31
Moskva ;10;Cruiser ;U.S.S.R. ;6 807 121 ;49.05 % ;0.61 ;64 555 ;1 612 ;2.87 ;1
Benson ;8;Destroyer ;U.S.A. ;6 637 313 ;50.41 % ;0.65 ;28 851 ;1 419 ;1.25 ;1.03
Musashi ;9;Battleship ;Japan ;6 629 307 ;54.47 % ;0.91 ;89 111 ;1 736 ;1.13 ;1.8
Shchors ;7;Cruiser ;U.S.S.R. ;6 627 127 ;50.27 % ;0.66 ;38 728 ;1 344 ;1.14 ;0.99
Halland ;10;Destroyer ;Europe ;6 570 373 ;49.55 % ;0.71 ;47 616 ;1 697 ;5.17 ;1.22
Thunderer ;10;Battleship ;U.K. ;6 502 609 ;50.18 % ;0.79 ;99 394 ;1 837 ;2.99 ;1.56
Missouri ;9;Battleship ;U.S.A. ;6 393 825 ;53.23 % ;0.82 ;70 815 ;1 737 ;3.04 ;1.37
Atago ;8;Cruiser ;Japan ;6 374 592 ;50.1 % ;0.6 ;38 890 ;1 359 ;1.6 ;1.06
Mahan ;7;Destroyer ;U.S.A. ;6 298 080 ;50.2 % ;0.62 ;23 718 ;1 307 ;0.49 ;0.91
Fubuki ;6;Destroyer ;Japan ;6 274 156 ;48.5 % ;0.58 ;21 301 ;998;0.7 ;0.85
Jean Bart ;9;Battleship ;France ;6 242 079 ;52.63 % ;0.9 ;83 315 ;1 778 ;3.45 ;1.48
Farragut ;6;Destroyer ;U.S.A. ;6 236 677 ;50.06 % ;0.59 ;19 869 ;1 065 ;0.73 ;0.84
Conqueror ;10;Battleship ;U.K. ;6 168 184 ;50.04 % ;0.77 ;101 157 ;1 733 ;2.4 ;1.62
Edinburgh ;8;Cruiser ;U.K. ;6 090 441 ;51.12 % ;0.66 ;40 100 ;1 423 ;2.53 ;1.11
Nicholas ;5;Destroyer ;U.S.A. ;6 034 022 ;48.76 % ;0.6 ;17 326 ;881;0.74 ;0.78
Budyonny ;6;Cruiser ;U.S.S.R. ;6 012 234 ;51.44 % ;0.66 ;32 141 ;1 139 ;1.45 ;0.99
St. Louis ;3;Cruiser ;U.S.A. ;5 954 447 ;51.29 % ;0.82 ;21 945 ;587;0.01 ;1.32
République ;10;Battleship ;France ;5 904 298 ;49.11 % ;0.8 ;88 464 ;1 654 ;2.93 ;1.42
Smolensk ;10;Cruiser ;U.S.S.R. ;5 901 502 ;49.37 % ;0.8 ;76 772 ;1 791 ;3.43 ;1.39
Ibuki ;9;Cruiser ;Japan ;5 837 794 ;49.31 % ;0.6 ;51 535 ;1 466 ;1.69 ;1.14
Cleveland ;8;Cruiser ;U.S.A. ;5 782 697 ;50.46 % ;0.59 ;39 619 ;1 364 ;3.31 ;0.91
Kuma ;4;Cruiser ;Japan ;5 782 687 ;51.28 % ;0.82 ;24 870 ;730;0.4 ;1.19
Richelieu ;8;Battleship ;France ;5 782 661 ;51.73 % ;0.76 ;61 097 ;1 500 ;3.46 ;1.25
Lyon ;7;Battleship ;France ;5 776 000 ;51.82 % ;0.9 ;54 707 ;1 363 ;2.81 ;1.7
Myogi ;4;Battleship ;Japan ;5 743 178 ;48.52 % ;0.66 ;26 599 ;693;0.83 ;1.24
Phoenix ;4;Cruiser ;U.S.A. ;5 618 589 ;49.17 % ;0.66 ;21 434 ;711;0.3 ;0.93
Leander ;6;Cruiser ;U.K. ;5 588 841 ;52.67 % ;0.76 ;31 131 ;1 144 ;1.73 ;1.24
King George V ;7;Battleship ;U.K. ;5 484 747 ;52.02 % ;0.83 ;57 063 ;1 408 ;1.98 ;1.54
Kaiser ;4;Battleship ;Germany ;5 437 545 ;51.5 % ;0.99 ;37 313 ;740;1.88 ;2.04
Kitakaze ;9;Destroyer ;Japan ;5 392 127 ;51.1 % ;0.78 ;46 891 ;1 663 ;1.68 ;1.21
Neptune ;9;Cruiser ;U.K. ;5 390 228 ;49.6 % ;0.68 ;49 782 ;1 464 ;2.98 ;1.1
Akizuki ;8;Destroyer ;Japan ;5 357 408 ;51.34 % ;0.75 ;38 486 ;1 609 ;2.4 ;1.12
Alsace ;9;Battleship ;France ;5 337 353 ;50.51 % ;0.76 ;69 882 ;1 521 ;2.5 ;1.26
Clemson ;4;Destroyer ;U.S.A. ;5 293 999 ;50.82 % ;0.9 ;21 810 ;715;0.05 ;1.27
Chapayev ;8;Cruiser ;U.S.S.R. ;5 114 650 ;50.76 % ;0.61 ;42 843 ;1 472 ;2.06 ;0.96
Dmitri Donskoi ;9;Cruiser ;U.S.S.R. ;5 092 918 ;50.58 % ;0.6 ;53 366 ;1 501 ;1.83 ;1.09
Karlsruhe ;4;Cruiser ;Germany ;5 050 059 ;49.36 % ;0.63 ;18 543 ;640;0.09 ;0.89
Yoshino ;10;Cruiser ;Japan ;5 014 657 ;48.02 % ;0.63 ;74 017 ;1 601 ;2.82 ;1.23
Ernst Gaede ;6;Destroyer ;Germany ;4 980 594 ;50.81 % ;0.61 ;21 034 ;1 051 ;0.64 ;0.88
Atlanta ;7;Cruiser ;U.S.A. ;4 947 397 ;50.1 % ;0.68 ;29 975 ;1 343 ;3 ;0.97
Admiral Graf Spee ;6;Cruiser ;Germany ;4 843 828 ;53.67 % ;0.66 ;32 502 ;1 098 ;1.79 ;1.08
Georgia ;9;Battleship ;U.S.A. ;4 746 635 ;52.91 % ;0.89 ;78 400 ;1 679 ;3.2 ;1.43
T-22 ;5;Destroyer ;Germany ;4 462 445 ;48.68 % ;0.54 ;16 445 ;868;0.84 ;0.74
La Galissonnière ;6;Cruiser ;France ;4 357 927 ;50.62 % ;0.58 ;28 773 ;1 044 ;1.71 ;0.84
Monarch ;8;Battleship ;U.K. ;4 317 877 ;50.45 % ;0.69 ;59 442 ;1 516 ;2.73 ;1.25
Salem ;10;Cruiser ;U.S.A. ;4 288 335 ;48.3 % ;0.69 ;63 942 ;1 618 ;3.59 ;1.07
Charles Martel ;8;Cruiser ;France ;4 257 572 ;51.35 % ;0.65 ;48 363 ;1 453 ;2.11 ;1.08
Pommern ;9;Battleship ;Germany ;4 241 678 ;50.19 % ;0.67 ;63 384 ;1 467 ;2.27 ;0.99
Kremlin ;10;Battleship ;U.S.S.R. ;4 237 802 ;51.39 % ;0.8 ;82 718 ;1 787 ;4.27 ;1.33
Algérie ;7;Cruiser ;France ;4 185 487 ;50.65 % ;0.62 ;38 485 ;1 234 ;1.48 ;1.01
Baltimore ;8;Cruiser ;U.S.A. ;4 148 174 ;50.76 % ;0.58 ;39 407 ;1 421 ;3.88 ;0.86
Worcester ;10;Cruiser ;U.S.A. ;4 123 432 ;49.46 % ;0.71 ;64 410 ;1 682 ;4.53 ;1.23
Vladivostok ;8;Battleship ;U.S.S.R. ;4 073 631 ;52.78 % ;0.83 ;60 828 ;1 655 ;3.97 ;1.4
Shiratsuyu ;7;Destroyer ;Japan ;4 069 784 ;52.65 % ;0.77 ;30 555 ;1 368 ;0.45 ;1.32
Mutsuki ;5;Destroyer ;Japan ;4 040 469 ;48.54 % ;0.56 ;18 614 ;843;0.69 ;0.85
Mikhail Kutuzov ;8;Cruiser ;U.S.S.R. ;3 976 283 ;52.21 % ;0.71 ;51 612 ;1 474 ;2.45 ;1.3
Émile Bertin ;5;Cruiser ;France ;3 956 587 ;52.2 % ;0.63 ;25 688 ;912;1.32 ;0.9
Alaska ;9;Cruiser ;U.S.A. ;3 932 113 ;54.51 % ;0.78 ;66 214 ;1 719 ;2.92 ;1.36
Schlieffen ;10;Battleship ;Germany ;3 925 162 ;50.59 % ;0.79 ;78 655 ;1 665 ;3.32 ;1.06
Queen Elizabeth ;6;Battleship ;U.K. ;3 897 171 ;50.38 % ;0.71 ;43 347 ;1 160 ;2.95 ;1.28
Z-52 ;10;Destroyer ;Germany ;3 862 709 ;49.69 % ;0.63 ;38 443 ;1 602 ;1.94 ;0.98
Emerald ;5;Cruiser ;U.K. ;3 820 599 ;49.29 % ;0.56 ;19 433 ;854;0.73 ;0.76
South Carolina ;3;Battleship ;U.S.A. ;3 800 000 ;48.69 % ;0.7 ;21 182 ;563;0.02 ;1.23
Stalingrad ;10;Cruiser ;U.S.S.R. ;3 790 825 ;53.39 % ;0.81 ;82 426 ;1 900 ;4.25 ;1.35
Iron Duke ;5;Battleship ;U.K. ;3 775 087 ;51.02 % ;0.79 ;39 527 ;994;1.78 ;1.44
Sinop ;7;Battleship ;U.S.S.R. ;3 761 712 ;52.99 % ;0.92 ;56 431 ;1 508 ;3.28 ;1.53
Buffalo ;9;Cruiser ;U.S.A. ;3 732 773 ;49.06 % ;0.57 ;47 289 ;1 434 ;2.34 ;0.9
Kamikaze R ;5;Destroyer ;Japan ;3 697 316 ;57.68 % ;1.19 ;35 401 ;1 235 ;0.01 ;2.14
Z-23 ;8;Destroyer ;Germany ;3 673 441 ;50.51 % ;0.62 ;28 660 ;1 437 ;0.93 ;0.95
Harugumo ;10;Destroyer ;Japan ;3 668 746 ;49.07 % ;0.72 ;52 001 ;1 626 ;2.25 ;1.06
Normandie ;6;Battleship ;France ;3 650 246 ;52.33 % ;0.87 ;47 474 ;1 184 ;0.72 ;1.65
Blyskawica ;7;Destroyer ;Europe ;3 606 288 ;49.19 % ;0.57 ;23 990 ;1 138 ;0.49 ;0.84
Venezia ;10;Cruiser ;Italy ;3 550 904 ;50.47 % ;0.79 ;79 434 ;1 866 ;3.15 ;1.76
Leberecht Maass ;7;Destroyer ;Germany ;3 545 824 ;52.01 % ;0.7 ;26 508 ;1 279 ;0.66 ;1.07
Lion ;9;Battleship ;U.K. ;3 525 263 ;49.85 % ;0.67 ;72 325 ;1 520 ;2.08 ;1.34
V-170 ;4;Destroyer ;Germany ;3 498 560 ;50.71 % ;0.87 ;21 924 ;674;0.05 ;1.26
Massachusetts ;8;Battleship ;U.S.A. ;3 476 632 ;53.83 % ;0.87 ;64 315 ;1 631 ;5.33 ;1.46
Lexington ;8;Aircraft Carrier ;U.S.A. ;3 454 426 ;48.49 % ;0.73 ;52 759 ;1 531 ;4.45 ;2.84
Dunkerque ;6;Battleship ;France ;3 396 650 ;51.46 % ;0.77 ;44 564 ;1 218 ;2.06 ;1.22
Sovetsky Soyuz ;9;Battleship ;U.S.S.R. ;3 393 541 ;50.96 % ;0.75 ;67 934 ;1 615 ;2.28 ;1.24
Ranger ;6;Aircraft Carrier ;U.S.A. ;3 343 687 ;49.02 % ;0.59 ;33 932 ;1 151 ;3.56 ;1.74
Petropavlovsk ;10;Cruiser ;U.S.S.R. ;3 327 372 ;51.59 % ;0.72 ;68 131 ;1 797 ;4.66 ;1.19
Z-46 ;9;Destroyer ;Germany ;3 314 037 ;51.43 % ;0.71 ;36 758 ;1 579 ;1.04 ;1.14
Henri IV ;10;Cruiser ;France ;3 296 663 ;49.52 % ;0.74 ;77 301 ;1 699 ;2.67 ;1.39
Izmail ;6;Battleship ;U.S.S.R. ;3 292 248 ;52%;0.91 ;48 665 ;1 329 ;3.67 ;1.49
Hatsuharu ;6;Destroyer ;Japan ;3 243 623 ;51.97 % ;0.69 ;24 785 ;1 167 ;1.12 ;1.13
Ryujo ;6;Aircraft Carrier ;Japan ;3 230 533 ;51.27 % ;0.74 ;40 694 ;1 260 ;3.52 ;3.2
Oktyabrskaya Revolutsiya ;5;Battleship ;U.S.S.R. ;3 226 878 ;52.93 % ;0.95 ;45 361 ;1 129 ;2.4 ;1.87
New Orleans ;7;Cruiser ;U.S.A. ;3 129 933 ;49.32 % ;0.56 ;33 900 ;1 221 ;2.38 ;0.86
U-69 ;6;Submarine ;Germany ;3 076 258 ;50.78 % ;0.49 ;21 079 ;1 043 ;0 ;0.82
Kolberg ;3;Cruiser ;Germany ;3 056 500 ;48.74 % ;0.67 ;16 285 ;540;0 ;0.96
Östergötland ;9;Destroyer ;Europe ;3 056 443 ;50.59 % ;0.73 ;41 192 ;1 672 ;3.02 ;1.37
Murmansk ;5;Cruiser ;U.S.S.R. ;3 029 778 ;52.61 % ;0.79 ;30 242 ;1 057 ;1.22 ;1.18
Seattle ;9;Cruiser ;U.S.A. ;3 019 836 ;49.74 % ;0.57 ;46 982 ;1 472 ;3.11 ;0.99
Tenryu ;3;Cruiser ;Japan ;2 969 168 ;48.7 % ;0.72 ;18 313 ;593;0.03 ;1.01
Nelson ;7;Battleship ;U.K. ;2 918 445 ;54.52 % ;0.92 ;61 651 ;1 519 ;2.02 ;1.62
Midway ;10;Aircraft Carrier ;U.S.A. ;2 911 473 ;46.86 % ;0.76 ;72 776 ;1 728 ;5.51 ;3.05
Pensacola ;6;Cruiser ;U.S.A. ;2 906 053 ;49.59 % ;0.51 ;26 348 ;1 034 ;2.82 ;0.74
Warspite ;6;Battleship ;U.K. ;2 835 986 ;51.51 % ;0.81 ;44 859 ;1 280 ;1.79 ;1.49
Saint-Louis ;9;Cruiser ;France ;2 820 296 ;50.07 % ;0.62 ;57 605 ;1 504 ;1.94 ;1.14
Shokaku ;8;Aircraft Carrier ;Japan ;2 805 811 ;49.43 % ;0.78 ;54 356 ;1 564 ;3.96 ;3.6
Lightning ;8;Destroyer ;U.K. ;2 747 200 ;52.49 % ;0.78 ;33 159 ;1 644 ;1.06 ;1.29
Svietlana ;4;Cruiser ;U.S.S.R. ;2 731 997 ;51.49 % ;0.74 ;22 669 ;707;0.18 ;1.05
Nassau ;3;Battleship ;Germany ;2 712 849 ;51.67 % ;1.05 ;29 361 ;600;0.04 ;2.04
Öland ;8;Destroyer ;Europe ;2 694 257 ;50.33 % ;0.66 ;30 893 ;1 619 ;4.07 ;1.14
Belfast ;7;Cruiser ;U.K. ;2 679 169 ;56.48 % ;0.94 ;47 175 ;1 524 ;1.97 ;1.72
Danae ;4;Cruiser ;U.K. ;2 639 659 ;51.22 % ;0.78 ;20 800 ;672;0.71 ;1.1
Izyaslav ;4;Destroyer ;U.S.S.R. ;2 608 348 ;50.06 % ;0.73 ;18 196 ;684;0.1 ;0.97
Yueyang ;10;Destroyer ;Pan-Asia ;2 547 417 ;51.33 % ;0.77 ;54 535 ;1 752 ;1.5 ;1.36
Kawachi ;3;Battleship ;Japan ;2 541 886 ;49.55 % ;0.74 ;20 099 ;571;0.04 ;1.25
Duke of York ;7;Battleship ;U.K. ;2 533 474 ;50.35 % ;0.75 ;50 316 ;1 326 ;3.09 ;1.29
Ohio ;10;Battleship ;U.S.A. ;2 514 715 ;52.75 % ;0.91 ;94 837 ;1 911 ;4.3 ;1.58
Daring ;10;Destroyer ;U.K. ;2 498 372 ;51.67 % ;0.79 ;45 910 ;1 705 ;1.71 ;1.37
Bourgogne ;10;Battleship ;France ;2 456 922 ;53.13 % ;0.98 ;105 877 ;2 001 ;3.76 ;1.83
Khabarovsk ;10;Destroyer ;U.S.S.R. ;2 455 950 ;51.01 % ;0.75 ;56 276 ;1 650 ;1.85 ;1.36
ARP Takao ;8;Cruiser ;Japan ;2 406 168 ;52.01 % ;0.65 ;42 631 ;1 318 ;1.29 ;1.1
Wickes ;3;Destroyer ;U.S.A. ;2 392 688 ;47.53 % ;0.65 ;14 077 ;531;0.02 ;0.81
Napoli ;10;Cruiser ;Italy ;2 361 658 ;49.99 % ;0.72 ;62 798 ;1 674 ;2.65 ;1.22
Jutland ;9;Destroyer ;U.K. ;2 312 174 ;52.26 % ;0.78 ;39 000 ;1 694 ;1.28 ;1.44
U-190 ;8;Submarine ;Germany ;2 310 048 ;49.96 % ;0.43 ;25 088 ;1 371 ;0 ;0.7
Giulio Cesare ;5;Battleship ;Italy ;2 292 517 ;60.14 % ;1.32 ;58 562 ;1 413 ;2.07 ;2.89
Skåne ;7;Destroyer ;Europe ;2 252 835 ;51.52 % ;0.62 ;26 566 ;1 421 ;2.34 ;1.07
Amalfi ;8;Cruiser ;Italy ;2 232 318 ;51.53 % ;0.67 ;46 756 ;1 592 ;3.01 ;1.19
Asashio ;8;Destroyer ;Japan ;2 217 954 ;52.96 % ;0.81 ;55 057 ;1 678 ;0.08 ;1.7
Ägir ;9;Cruiser ;Germany ;2 194 096 ;51.94 % ;0.65 ;59 153 ;1 572 ;2.91 ;1.05
Brindisi ;9;Cruiser ;Italy ;2 193 962 ;50.62 % ;0.7 ;60 982 ;1 653 ;1.96 ;1.41
Aigle ;6;Destroyer ;France ;2 167 144 ;50.64 % ;0.67 ;24 839 ;1 091 ;0.29 ;1.01
Bretagne ;5;Battleship ;France ;2 164 223 ;49.69 % ;0.73 ;36 275 ;963;1.7 ;1.28
Prinz Eugen ;8;Cruiser ;Germany ;2 160 569 ;49.84 % ;0.5 ;36 805 ;1 343 ;2.7 ;0.84
Prinz Rupprecht ;9;Battleship ;Germany ;2 156 958 ;52.06 % ;0.79 ;68 306 ;1 602 ;2.46 ;1.12
Pyotr Velikiy ;5;Battleship ;U.S.S.R. ;2 152 278 ;51.32 % ;0.84 ;40 933 ;1 084 ;2.45 ;1.39
Wakatake ;3;Destroyer ;Japan ;2 136 183 ;48.54 % ;0.67 ;15 793 ;543;0.02 ;0.93
Alabama ;8;Battleship ;U.S.A. ;2 127 336 ;50.54 % ;0.72 ;55 818 ;1 479 ;3.93 ;1.32
Dallas ;6;Cruiser ;U.S.A. ;2 127 319 ;51.34 % ;0.59 ;28 011 ;1 130 ;3.48 ;0.9
Tallinn ;8;Cruiser ;U.S.S.R. ;2 116 084 ;50.43 % ;0.58 ;39 776 ;1 478 ;3.81 ;0.87
Texas ;5;Battleship ;U.S.A. ;2 111 736 ;53.27 % ;0.82 ;41 371 ;1 213 ;3.47 ;1.56
Orion ;4;Battleship ;U.K. ;2 105 799 ;52.66 % ;1.14 ;42 750 ;788;2.36 ;2.32
Duguay-Trouin ;4;Cruiser ;France ;2 092 596 ;51.85 % ;0.81 ;26 189 ;676;0.45 ;1.2
Umikaze ;2;Destroyer ;Japan ;2 084 637 ;48.72 % ;0.78 ;14 075 ;507;0 ;1.25
Ognevoi ;8;Destroyer ;U.S.S.R. ;2 065 094 ;50.63 % ;0.63 ;29 934 ;1 514 ;1.39 ;1.08
ARP Kongo ;5;Battleship ;Japan ;2 059 411 ;53.47 % ;0.84 ;40 601 ;1 002 ;1.58 ;1.65
Udaloi ;9;Destroyer ;U.S.S.R. ;2 052 041 ;51.2 % ;0.71 ;40 845 ;1 597 ;1.5 ;1.22
Riga ;9;Cruiser ;U.S.S.R. ;2 051 956 ;50.89 % ;0.61 ;51 584 ;1 575 ;2.3 ;1.03
Helena ;7;Cruiser ;U.S.A. ;2 049 127 ;50.88 % ;0.67 ;37 176 ;1 334 ;2.96 ;1.03
Furious ;6;Aircraft Carrier ;U.K. ;2 047 479 ;51.34 % ;0.7 ;39 746 ;1 270 ;4.25 ;2.46
Jervis ;7;Destroyer ;U.K. ;2 045 786 ;53.05 % ;0.79 ;27 525 ;1 399 ;0.47 ;1.27
Cossack ;8;Destroyer ;U.K. ;2 015 751 ;52.15 % ;0.77 ;34 271 ;1 662 ;0.28 ;1.38
Azuma ;9;Cruiser ;Japan ;1 994 779 ;52.2 % ;0.72 ;73 022 ;1 687 ;2.46 ;1.54
Prinz Heinrich ;7;Battleship ;Germany ;1 967 979 ;52.66 % ;0.86 ;51 344 ;1 463 ;2.45 ;1.28
Zara ;7;Cruiser ;Italy ;1 964 130 ;51.74 % ;0.69 ;41 205 ;1 435 ;1.72 ;1.25
Grozovoi ;10;Destroyer ;U.S.S.R. ;1 961 796 ;50.24 % ;0.69 ;44 264 ;1 635 ;3.16 ;1.14
Tashkent ;9;Destroyer ;U.S.S.R. ;1 937 424 ;49.61 % ;0.63 ;41 291 ;1 665 ;1.02 ;1.07
Gadjah Mada ;7;Destroyer ;Pan-Asia ;1 933 692 ;53.59 % ;0.81 ;33 256 ;1 425 ;0.51 ;1.35
Kiev ;8;Destroyer ;U.S.S.R. ;1 903 777 ;50.42 % ;0.63 ;34 366 ;1 487 ;1.09 ;1.01
Hakuryu ;10;Aircraft Carrier ;Japan ;1 883 174 ;48.8 % ;0.85 ;81 369 ;1 735 ;5.24 ;3.78
Trento ;6;Cruiser ;Italy ;1 882 798 ;50.51 % ;0.59 ;30 878 ;1 161 ;2.33 ;0.91
Langley ;4;Aircraft Carrier ;U.S.A. ;1 880 188 ;50.76 % ;0.66 ;26 181 ;707;2.66 ;1.95
Chung Mu ;9;Destroyer ;Pan-Asia ;1 876 513 ;52.43 % ;0.8 ;47 082 ;1 683 ;1.21 ;1.4
Loyang ;8;Destroyer ;Pan-Asia ;1 866 076 ;50.14 % ;0.58 ;25 634 ;1 437 ;1.13 ;0.92
Marceau ;10;Destroyer ;France ;1 863 997 ;50.09 % ;0.71 ;43 683 ;1 662 ;3.63 ;1.09
Zieten ;8;Battleship ;Germany ;1 837 060 ;51.83 % ;0.79 ;56 512 ;1 571 ;3.64 ;1.14
Icarus ;6;Destroyer ;U.K. ;1 823 700 ;51.76 % ;0.68 ;21 360 ;1 140 ;0.28 ;1.08
Kansas ;8;Battleship ;U.S.A. ;1 776 997 ;49.8 % ;0.68 ;57 115 ;1 550 ;4.8 ;1.27
Derzki ;3;Destroyer ;U.S.S.R. ;1 763 511 ;49.07 % ;0.7 ;14 370 ;531;0 ;0.89
Kronshtadt ;9;Cruiser ;U.S.S.R. ;1 732 487 ;56.05 % ;0.78 ;67 106 ;1 807 ;1.37 ;1.5
Shinonome ;6;Destroyer ;Japan ;1 732 092 ;54.82 % ;0.9 ;30 438 ;1 295 ;0.02 ;1.44
Implacable ;8;Aircraft Carrier ;U.K. ;1 710 649 ;49%;0.72 ;52 428 ;1 581 ;4.55 ;3.02
Hosho ;4;Aircraft Carrier ;Japan ;1 694 640 ;51.8 % ;0.76 ;30 007 ;753;2.41 ;2.7
Västerås ;6;Destroyer ;Europe ;1 682 927 ;51.94 % ;0.63 ;22 499 ;1 248 ;1.53 ;1.06
Vermont ;10;Battleship ;U.S.A. ;1 680 525 ;50.24 % ;0.84 ;90 235 ;1 802 ;3.8 ;1.65
U-2501 ;10;Submarine ;Germany ;1 669 394 ;48.21 % ;0.46 ;35 799 ;1 528 ;0 ;0.76
