"response","nsyll","npause","dur_s","phonationtime_s","speechrate","articulationrate","asd","nrFP","tFP_s","test_item_id","transcription","user_id","test_component_id","correct_sentence","correct_sentence2","distancelv","distancelv2"
"004144a3-6d96-42d5-90c3-e05639f6e4f0",13,1,7.98,3.46,1.63,3.76,0.266,0,0,47,"a good teacher makes learning a joy for students",155,10,"a good teacher makes learning a joy for students","a good teacher makes learning a joy for students",0,0
"004820b3-4a7b-4c21-b41f-ebe96c374c3b",17,2,7.98,4.79,2.13,3.55,0.282,1,0.104,152,"a good student needs to do everything the teacher says",87,12,"a good student must do everything the teacher says","a good student must do everything the teacher says",-6,-6
"004820b3-4a7b-4c21-b41f-ebe96c374c3b",17,2,7.98,4.79,2.13,3.55,0.282,1,0.104,152,"a good student needs to do everything the teacher says",87,12,"a good student must do everything the teacher says","a good student must do everything the teacher says",-6,-6
"004820b3-4a7b-4c21-b41f-ebe96c374c3b",17,2,7.98,4.79,2.13,3.55,0.282,1,0.104,152,"a good student needs to do everything the teacher says",87,12,"a good student must do everything the teacher says","a good student must do everything the teacher says",-6,-6
"004820b3-4a7b-4c21-b41f-ebe96c374c3b",17,2,7.98,4.79,2.13,3.55,0.282,1,0.104,152,"a good student needs to do everything the teacher says",87,12,"a good student must do everything the teacher says","a good student must do everything the teacher says",-6,-6
"005d898f-9f47-4d15-a87b-6b42b81b2f5f",11,0,7.98,2.03,1.38,5.41,0.185,0,0,107,"girls always want to know how do celebrities stay fit",29,11,"girls always want to know how celebrities stay fit","girls always want to know how celebrities stay fit",-3,-3
"005d898f-9f47-4d15-a87b-6b42b81b2f5f",11,0,7.98,2.03,1.38,5.41,0.185,0,0,107,"girls always want to know how do celebrities stay fit",29,11,"girls always want to know how celebrities stay fit","girls always want to know how celebrities stay fit",-3,-3
"005d898f-9f47-4d15-a87b-6b42b81b2f5f",11,0,7.98,2.03,1.38,5.41,0.185,0,0,107,"girls always want to know how do celebrities stay fit",29,11,"girls always want to know how celebrities stay fit","girls always want to know how celebrities stay fit",-3,-3
"005d898f-9f47-4d15-a87b-6b42b81b2f5f",11,0,7.98,2.03,1.38,5.41,0.185,0,0,107,"girls always want to know how do celebrities stay fit",29,11,"girls always want to know how celebrities stay fit","girls always want to know how celebrities stay fit",-3,-3
"005f1f1d-4eff-46a9-a913-747d2af97914",10,0,8.02,2.64,1.25,3.79,0.264,0,0,174,"it is more harder to learn japanese than to learn english",71,13,"it is harder to learn japanese than to learn english","it is harder to learn japanese than to learn english",-5,-5
"005f1f1d-4eff-46a9-a913-747d2af97914",10,0,8.02,2.64,1.25,3.79,0.264,0,0,174,"it is more harder to learn japanese than to learn english",71,13,"it is harder to learn japanese than to learn english","it is harder to learn japanese than to learn english",-5,-5
"005f1f1d-4eff-46a9-a913-747d2af97914",10,0,8.02,2.64,1.25,3.79,0.264,0,0,174,"it is more harder to learn japanese than to learn english",71,13,"it is harder to learn japanese than to learn english","it is harder to learn japanese than to learn english",-5,-5
"005f1f1d-4eff-46a9-a913-747d2af97914",10,0,8.02,2.64,1.25,3.79,0.264,0,0,174,"it is more harder to learn japanese than to learn english",71,13,"it is harder to learn japanese than to learn english","it is harder to learn japanese than to learn english",-5,-5
"006fdd7b-68c8-4cf2-9c2e-740ef3f5da8b",12,3,7.44,3.18,1.61,3.77,0.265,1,0.056,101,"abraham lincoln is considered one of the greatest presidents of the united states",133,11,"abraham lincoln is considered one of the greatest presidents of the united states","abraham lincoln is considered one of the greatest presidents of the united states",0,0
"006fdd7b-68c8-4cf2-9c2e-740ef3f5da8b",12,3,7.44,3.18,1.61,3.77,0.265,1,0.056,101,"abraham lincoln is considered one of the greatest presidents of the united states",133,11,"abraham lincoln is considered one of the greatest presidents of the united states","abraham lincoln is considered one of the greatest presidents of the united states",0,0
"006fdd7b-68c8-4cf2-9c2e-740ef3f5da8b",12,3,7.44,3.18,1.61,3.77,0.265,1,0.056,101,"abraham lincoln is considered one of the greatest presidents of the united states",133,11,"abraham lincoln is considered one of the greatest presidents of the united states","abraham lincoln is considered one of the greatest presidents of the united states",0,0
"006fdd7b-68c8-4cf2-9c2e-740ef3f5da8b",12,3,7.44,3.18,1.61,3.77,0.265,1,0.056,101,"abraham lincoln is considered one of the greatest presidents of the united states",133,11,"abraham lincoln is considered one of the greatest presidents of the united states","abraham lincoln is considered one of the greatest presidents of the united states",0,0
"00704cc5-7bd6-4720-bb33-151ed3d96d96",14,0,8,3.34,1.75,4.19,0.239,2,0.409,175,"european people tend to be taller than asian people",120,13,"european people tend to be taller than asian people","european people tend to be taller than asian people",0,0
"00704cc5-7bd6-4720-bb33-151ed3d96d96",14,0,8,3.34,1.75,4.19,0.239,2,0.409,175,"european people tend to be taller than asian people",120,13,"european people tend to be taller than asian people","european people tend to be taller than asian people",0,0
"00704cc5-7bd6-4720-bb33-151ed3d96d96",14,0,8,3.34,1.75,4.19,0.239,2,0.409,175,"european people tend to be taller than asian people",120,13,"european people tend to be taller than asian people","european people tend to be taller than asian people",0,0
"00704cc5-7bd6-4720-bb33-151ed3d96d96",14,0,8,3.34,1.75,4.19,0.239,2,0.409,175,"european people tend to be taller than asian people",120,13,"european people tend to be taller than asian people","european people tend to be taller than asian people",0,0
"008b600b-c38b-4a7d-93bc-85d59cc48c48",26,2,8.03,5.88,3.24,4.42,0.226,1,0.188,181,"in the 1980s many chinese people could afford electric cars",222,13,"in the 1980s many chinese people could afford luxury cars","in the 1980s many chinese people could afford luxury cars",-6,-6
"008b600b-c38b-4a7d-93bc-85d59cc48c48",26,2,8.03,5.88,3.24,4.42,0.226,1,0.188,181,"in the 1980s many chinese people could afford electric cars",222,13,"in the 1980s many chinese people could afford luxury cars","in the 1980s many chinese people could afford luxury cars",-6,-6
"008b600b-c38b-4a7d-93bc-85d59cc48c48",26,2,8.03,5.88,3.24,4.42,0.226,1,0.188,181,"in the 1980s many chinese people could afford electric cars",222,13,"in the 1980s many chinese people could afford luxury cars","in the 1980s many chinese people could afford luxury cars",-6,-6
"008b600b-c38b-4a7d-93bc-85d59cc48c48",26,2,8.03,5.88,3.24,4.42,0.226,1,0.188,181,"in the 1980s many chinese people could afford electric cars",222,13,"in the 1980s many chinese people could afford luxury cars","in the 1980s many chinese people could afford luxury cars",-6,-6
"008b6758-5f98-421f-a99b-f173534bfac0",13,0,7.92,3.54,1.64,3.68,0.272,1,0.166,136,"for dinner she asks if she can play with her friends",62,12,"before dinner she often asks to play with her friends","before dinner she often asks to play with her friends",-16,-16
"008b6758-5f98-421f-a99b-f173534bfac0",13,0,7.92,3.54,1.64,3.68,0.272,1,0.166,136,"for dinner she asks if she can play with her friends",62,12,"before dinner she often asks to play with her friends","before dinner she often asks to play with her friends",-16,-16
"008b6758-5f98-421f-a99b-f173534bfac0",13,0,7.92,3.54,1.64,3.68,0.272,1,0.166,136,"for dinner she asks if she can play with her friends",62,12,"before dinner she often asks to play with her friends","before dinner she often asks to play with her friends",-16,-16
"008b6758-5f98-421f-a99b-f173534bfac0",13,0,7.92,3.54,1.64,3.68,0.272,1,0.166,136,"for dinner she asks if she can play with her friends",62,12,"before dinner she often asks to play with her friends","before dinner she often asks to play with her friends",-16,-16
"008d1910-13af-4a09-98be-ee624cc36903",23,0,8,5.26,2.88,4.37,0.229,1,0.063,165,"abraham lincoln is considered one of the best presidents of the united states",120,13,"abraham lincoln is considered one of the greatest presidents of the united states","abraham lincoln is considered one of the greatest presidents of the united states",-5,-5
"008d1910-13af-4a09-98be-ee624cc36903",23,0,8,5.26,2.88,4.37,0.229,1,0.063,165,"abraham lincoln is considered one of the best presidents of the united states",120,13,"abraham lincoln is considered one of the greatest presidents of the united states","abraham lincoln is considered one of the greatest presidents of the united states",-5,-5
"008d1910-13af-4a09-98be-ee624cc36903",23,0,8,5.26,2.88,4.37,0.229,1,0.063,165,"abraham lincoln is considered one of the best presidents of the united states",120,13,"abraham lincoln is considered one of the greatest presidents of the united states","abraham lincoln is considered one of the greatest presidents of the united states",-5,-5
"008d1910-13af-4a09-98be-ee624cc36903",23,0,8,5.26,2.88,4.37,0.229,1,0.063,165,"abraham lincoln is considered one of the best presidents of the united states",120,13,"abraham lincoln is considered one of the greatest presidents of the united states","abraham lincoln is considered one of the greatest presidents of the united states",-5,-5
"0090758b-4f0f-45a3-a945-ed2c24b8f375",6,0,7.86,1.36,0.76,4.41,0.227,0,0,56,"you need 8 hours of sleep",93,13,"many people dont need 8 hours of sleep","many people dont need eight hours of sleep",-14,-19
"0090758b-4f0f-45a3-a945-ed2c24b8f375",6,0,7.86,1.36,0.76,4.41,0.227,0,0,56,"you need 8 hours of sleep",93,13,"many people dont need 8 hours of sleep","many people dont need eight hours of sleep",-14,-19
"0090758b-4f0f-45a3-a945-ed2c24b8f375",6,0,7.86,1.36,0.76,4.41,0.227,0,0,56,"you need 8 hours of sleep",93,13,"many people dont need 8 hours of sleep","many people dont need eight hours of sleep",-14,-19
"0090758b-4f0f-45a3-a945-ed2c24b8f375",6,0,7.86,1.36,0.76,4.41,0.227,0,0,56,"you need 8 hours of sleep",93,13,"many people dont need 8 hours of sleep","many people dont need eight hours of sleep",-14,-19
"00951a27-36e4-431f-8942-6f2822668ef4",10,2,7.98,4.53,1.25,2.21,0.453,1,0.304,60,"technology plays learn in nowadays",125,10,"technology plays an important role in language learning nowadays","technology plays an important role in language learning nowadays",-32,-32
"00951a27-36e4-431f-8942-6f2822668ef4",10,2,7.98,4.53,1.25,2.21,0.453,1,0.304,60,"technology plays learn in nowadays",125,10,"technology plays an important role in language learning nowadays","technology plays an important role in language learning nowadays",-32,-32
"00951a27-36e4-431f-8942-6f2822668ef4",10,2,7.98,4.53,1.25,2.21,0.453,1,0.304,60,"technology plays learn in nowadays",125,10,"technology plays an important role in language learning nowadays","technology plays an important role in language learning nowadays",-32,-32
"00951a27-36e4-431f-8942-6f2822668ef4",10,2,7.98,4.53,1.25,2.21,0.453,1,0.304,60,"technology plays learn in nowadays",125,10,"technology plays an important role in language learning nowadays","technology plays an important role in language learning nowadays",-32,-32
"00a8f335-9c6c-4170-bfe0-4ba0fe8d65ac",15,1,7.84,3.15,1.91,4.76,0.21,1,0.08,37,"the software that taylor swift invented changed the world",208,8,"the software that taylor swift invented changed the world","the software that taylor swift invented changed the world",0,0
"00a8f335-9c6c-4170-bfe0-4ba0fe8d65ac",15,1,7.84,3.15,1.91,4.76,0.21,1,0.08,37,"the software that taylor swift invented changed the world",208,8,"the software that taylor swift invented changed the world","the software that taylor swift invented changed the world",0,0
"00a8f335-9c6c-4170-bfe0-4ba0fe8d65ac",15,1,7.84,3.15,1.91,4.76,0.21,1,0.08,37,"the software that taylor swift invented changed the world",208,8,"the software that taylor swift invented changed the world","the software that taylor swift invented changed the world",0,0
"00a8f335-9c6c-4170-bfe0-4ba0fe8d65ac",15,1,7.84,3.15,1.91,4.76,0.21,1,0.08,37,"the software that taylor swift invented changed the world",208,8,"the software that taylor swift invented changed the world","the software that taylor swift invented changed the world",0,0
"00aa84ce-ef02-47ea-a93e-664e6295b98f",14,1,7.98,3.93,1.75,3.57,0.28,3,0.688,143,"european people are more tolerant than chinese people",184,12,"european people tend to be taller than asian people","european people tend to be taller than asian people",-18,-18
"00aa84ce-ef02-47ea-a93e-664e6295b98f",14,1,7.98,3.93,1.75,3.57,0.28,3,0.688,143,"european people are more tolerant than chinese people",184,12,"european people tend to be taller than asian people","european people tend to be taller than asian people",-18,-18
"00aa84ce-ef02-47ea-a93e-664e6295b98f",14,1,7.98,3.93,1.75,3.57,0.28,3,0.688,143,"european people are more tolerant than chinese people",184,12,"european people tend to be taller than asian people","european people tend to be taller than asian people",-18,-18
"00aa84ce-ef02-47ea-a93e-664e6295b98f",14,1,7.98,3.93,1.75,3.57,0.28,3,0.688,143,"european people are more tolerant than chinese people",184,12,"european people tend to be taller than asian people","european people tend to be taller than asian people",-18,-18
"00ba25fd-0902-40c4-bb30-2980f1920f9f",16,2,7.98,5.62,2.01,2.85,0.351,3,1.072,66,"some seats in planes are gathered by infants",116,10,"some seats on planes are reserved for mothers with infants","some seats on planes are reserved for mothers with infants",-22,-22
"00ba25fd-0902-40c4-bb30-2980f1920f9f",16,2,7.98,5.62,2.01,2.85,0.351,3,1.072,66,"some seats in planes are gathered by infants",116,10,"some seats on planes are reserved for mothers with infants","some seats on planes are reserved for mothers with infants",-22,-22
"00ba25fd-0902-40c4-bb30-2980f1920f9f",16,2,7.98,5.62,2.01,2.85,0.351,3,1.072,66,"some seats in planes are gathered by infants",116,10,"some seats on planes are reserved for mothers with infants","some seats on planes are reserved for mothers with infants",-22,-22
"00ba25fd-0902-40c4-bb30-2980f1920f9f",16,2,7.98,5.62,2.01,2.85,0.351,3,1.072,66,"some seats in planes are gathered by infants",116,10,"some seats on planes are reserved for mothers with infants","some seats on planes are reserved for mothers with infants",-22,-22
"00bb04c1-0945-4414-ba9a-8c405e01004e",12,1,7.98,3.2,1.5,3.75,0.267,1,0.144,72,"before dinner she always asked to play with her friends",158,10,"before dinner she often asks to play with her friends","before dinner she often asks to play with her friends",-8,-8
"00bb04c1-0945-4414-ba9a-8c405e01004e",12,1,7.98,3.2,1.5,3.75,0.267,1,0.144,72,"before dinner she always asked to play with her friends",158,10,"before dinner she often asks to play with her friends","before dinner she often asks to play with her friends",-8,-8
"00bb04c1-0945-4414-ba9a-8c405e01004e",12,1,7.98,3.2,1.5,3.75,0.267,1,0.144,72,"before dinner she always asked to play with her friends",158,10,"before dinner she often asks to play with her friends","before dinner she often asks to play with her friends",-8,-8
"00bb04c1-0945-4414-ba9a-8c405e01004e",12,1,7.98,3.2,1.5,3.75,0.267,1,0.144,72,"before dinner she always asked to play with her friends",158,10,"before dinner she often asks to play with her friends","before dinner she often asks to play with her friends",-8,-8
"00bf1b5f-7969-48f2-9509-ef95fed2bf49",19,2,7.98,5.19,2.38,3.66,0.273,1,0.456,36,"a good student should do everything the teacher says",306,8,"a good student must do everything the teacher says","a good student must do everything the teacher says",-5,-5
"00bf1b5f-7969-48f2-9509-ef95fed2bf49",19,2,7.98,5.19,2.38,3.66,0.273,1,0.456,36,"a good student should do everything the teacher says",306,8,"a good student must do everything the teacher says","a good student must do everything the teacher says",-5,-5
"00bf1b5f-7969-48f2-9509-ef95fed2bf49",19,2,7.98,5.19,2.38,3.66,0.273,1,0.456,36,"a good student should do everything the teacher says",306,8,"a good student must do everything the teacher says","a good student must do everything the teacher says",-5,-5
"00bf1b5f-7969-48f2-9509-ef95fed2bf49",19,2,7.98,5.19,2.38,3.66,0.273,1,0.456,36,"a good student should do everything the teacher says",306,8,"a good student must do everything the teacher says","a good student must do everything the teacher says",-5,-5
"00c5cc32-bb66-43d8-b7af-cbe36825d878",17,0,7.98,3.9,2.13,4.35,0.23,2,0.256,28,"new zealand is greener and more beautiful than other countries",306,8,"new zealand is greener and more beautiful than other countries","new zealand is greener and more beautiful than other countries",0,0
"00c5cc32-bb66-43d8-b7af-cbe36825d878",17,0,7.98,3.9,2.13,4.35,0.23,2,0.256,28,"new zealand is greener and more beautiful than other countries",306,8,"new zealand is greener and more beautiful than other countries","new zealand is greener and more beautiful than other countries",0,0
"00c5cc32-bb66-43d8-b7af-cbe36825d878",17,0,7.98,3.9,2.13,4.35,0.23,2,0.256,28,"new zealand is greener and more beautiful than other countries",306,8,"new zealand is greener and more beautiful than other countries","new zealand is greener and more beautiful than other countries",0,0
"00c5cc32-bb66-43d8-b7af-cbe36825d878",17,0,7.98,3.9,2.13,4.35,0.23,2,0.256,28,"new zealand is greener and more beautiful than other countries",306,8,"new zealand is greener and more beautiful than other countries","new zealand is greener and more beautiful than other countries",0,0
"00c7618b-f687-4ebe-8154-5b487680d60a",8,1,7.98,4.21,1,1.9,0.527,3,0.424,10,"you guys americans usually makes toast for breakfast",229,8,"americans usually like to have bread for breakfast","americans usually like to have bread for breakfast",-22,-22
"00c7618b-f687-4ebe-8154-5b487680d60a",8,1,7.98,4.21,1,1.9,0.527,3,0.424,10,"you guys americans usually makes toast for breakfast",229,8,"americans usually like to have bread for breakfast","americans usually like to have bread for breakfast",-22,-22
"00c7618b-f687-4ebe-8154-5b487680d60a",8,1,7.98,4.21,1,1.9,0.527,3,0.424,10,"you guys americans usually makes toast for breakfast",229,8,"americans usually like to have bread for breakfast","americans usually like to have bread for breakfast",-22,-22
"00c7618b-f687-4ebe-8154-5b487680d60a",8,1,7.98,4.21,1,1.9,0.527,3,0.424,10,"you guys americans usually makes toast for breakfast",229,8,"americans usually like to have bread for breakfast","americans usually like to have bread for breakfast",-22,-22
"00cbf2f0-e372-4713-a72c-6b688f91e866",18,2,7.98,5.46,2.26,3.3,0.303,3,0.976,60,"technology plays a vital role in our lives today",116,10,"technology plays an important role in language learning nowadays","technology plays an important role in language learning nowadays",-26,-26
"00cbf2f0-e372-4713-a72c-6b688f91e866",18,2,7.98,5.46,2.26,3.3,0.303,3,0.976,60,"technology plays a vital role in our lives today",116,10,"technology plays an important role in language learning nowadays","technology plays an important role in language learning nowadays",-26,-26
"00cbf2f0-e372-4713-a72c-6b688f91e866",18,2,7.98,5.46,2.26,3.3,0.303,3,0.976,60,"technology plays a vital role in our lives today",116,10,"technology plays an important role in language learning nowadays","technology plays an important role in language learning nowadays",-26,-26
"00cbf2f0-e372-4713-a72c-6b688f91e866",18,2,7.98,5.46,2.26,3.3,0.303,3,0.976,60,"technology plays a vital role in our lives today",116,10,"technology plays an important role in language learning nowadays","technology plays an important role in language learning nowadays",-26,-26
"00cca14c-b7fa-4ab7-a322-018335689a29",15,1,7.98,4.4,1.88,3.41,0.293,0,0,67,"children should be not allowed to stay late with friends",220,10,"children should not be allowed to stay out late with their friends ","children should not be allowed to stay out late with their friends ",-17,-17
"00de2aa4-6081-4025-af8c-8c4f3282b23b",9,0,7.98,2.72,1.13,3.31,0.302,2,0.248,135,"joe tells he has been studying hard for each test",128,12,"jo tells them they have to study hard for each test","jo tells them they have to study hard for each test",-15,-15
"00f14337-bda4-4441-991c-61837fdb3892",16,0,7.98,4.3,2.01,3.72,0.269,0,0,29,"luxury brands are cheaper in china than in the united states",306,8,"luxury brands are cheaper in china than in the united states","luxury brands are cheaper in china than in the united states",0,0
"010fa0f5-5a62-43e2-93da-af04589bc2ed",7,0,8,2.35,0.88,2.98,0.336,1,0.16,158,"americans usually have bread for breakfast",217,13,"americans usually like to have bread for breakfast","americans usually like to have bread for breakfast",-8,-8
"01111252-a61a-4462-89ce-faeda12c3f3c",12,2,7.98,3.3,1.5,3.64,0.275,1,0.296,160,"sometimes dogs leak in the trash when they are alone",51,13,"sometimes dogs knock over the trash when they are left alone","sometimes dogs knock over the trash when they are left alone",-13,-13
"011cc64b-58de-412a-9019-c24e22b69349",17,2,8,4.02,2.12,4.23,0.236,2,0.68,85,"in the 1980s many chinese people could afford luxury cars",289,10,"in the 1980s many chinese people could afford luxury cars","in the 1980s many chinese people could afford luxury cars",0,0
"012223ca-ee7e-4d63-bd36-77384273ca36",0,0,8.02,8.02,NA,NA,NA,NA,NA,71,"you",47,10,"jo tells them they have to study hard for each test","jo tells them they have to study hard for each test",-48,-48
"0136c58c-cb19-4608-8d56-67aa594aa749",9,2,7.98,3.8,1.13,2.37,0.422,4,0.555,153,"i dont know about the taylor swift program",119,12,"the software that taylor swift invented changed the world","the software that taylor swift invented changed the world",-40,-40
"013a7c50-0b0c-4940-9a00-12743acfaedf",11,1,7.98,2.4,1.38,4.58,0.218,1,0.224,105,"every winter he wants to move from florida to michigan",29,11,"every winter he wants to move to florida from michigan","every winter he wants to move to florida from michigan",-6,-6
"01458483-1ed3-4d60-a1c7-944ead5e37ff",14,0,7.98,3.87,1.75,3.62,0.277,5,1.04,34,"the chinese people were the first ones to land on the moon arent they",186,8,"the chinese people were the first to land on the moon werent they","the chinese people were the first to land on the moon werent they",-7,-7
"014fb66a-b034-4129-b33f-817e7d41fc68",9,1,7.98,4.61,1.13,1.95,0.512,4,1.206,179,"the teacher doesnt punishing the pupils",106,13,"it is acceptable for teachers to physically punish students","it is acceptable for teachers to physically punish students",-42,-42
"014ff225-178a-4be9-83f4-6256a687d418",13,0,7.98,3.04,1.63,4.28,0.234,1,0.12,178,"people who live in beijing do not have to worry about traffic jams",250,13,"people who live in beijing do not need to worry about traffic jams ","people who live in beijing do not need to worry about traffic jams ",-5,-5
"01624f48-ae67-42f3-9180-a013a2a273bb",15,0,7.92,4.29,1.89,3.5,0.286,2,0.544,60,"technology making an important role in learning nowadays",179,10,"technology plays an important role in language learning nowadays","technology plays an important role in language learning nowadays",-15,-15
"0170610a-058c-4b09-ac32-31c77adc392f",8,1,8,2.42,1,3.31,0.302,1,0.104,168,"as always she often asks to play with her friends",130,13,"before dinner she often asks to play with her friends","before dinner she often asks to play with her friends",-12,-12
"01870129-cddd-430d-bd80-550f2657de62",18,3,7.98,5.54,2.26,3.25,0.308,2,0.296,95,"young people often seek advices by their parents when it comes to jobs",181,11,"young people often seek advice from their parents about finding jobs","young people often seek advice from their parents about finding jobs",-19,-19
"0195413c-a0fd-4dff-a5e9-e189b6735bd1",13,0,7.98,5.26,1.63,2.47,0.405,3,0.989,86,"the chinese people were the first to land on the moon arent they",233,10,"the chinese people were the first to land on the moon werent they","the chinese people were the first to land on the moon werent they",-2,-2
"0197bf0f-bcd8-4ab0-b942-8338b1ee84c5",10,0,7.98,2.51,1.25,3.98,0.251,1,0.128,6,"everyone loved to read comic books as a child",195,8,"everyone loves to read comic books as a child","everyone loved to read comic books as a child",-1,0
"019a90e3-b6d9-429c-a1c4-77605de301a3",16,0,7.68,3.71,2.08,4.31,0.232,0,0,5,"new technologies always make our lives much easier",105,8,"new technology always makes our lives much easier ","new technology always makes our lives much easier ",-5,-5
"01a39cac-4514-4cff-ab6d-e8e30999dc8e",11,1,8.05,3.46,1.37,3.18,0.314,0,0,67,"children should not be allowed to stay out late with their friends",97,10,"children should not be allowed to stay out late with their friends ","children should not be allowed to stay out late with their friends ",-1,-1
"01a45750-fa1e-4b04-9245-e5816a1563e7",11,0,7.98,2.32,1.38,4.74,0.211,1,0.136,90,"everybody reads comic books as a child",228,11,"everyone loves to read comic books as a child","everyone loved to read comic books as a child",-12,-11
