text,response,count
"Dort ist kein Bier, sondern %%.",saft,3
"Dort ist kein Bier, sondern %%.",tee,3
"Dort ist kein Bier, sondern %%.",wasser,2
"Dort ist kein Bier, sondern %%.",apfelcider,1
"Dort ist kein Bier, sondern %%.",apfelsaft,1
"Dort ist kein Bier, sondern %%.",apfelschorle,1
"Dort ist kein Bier, sondern %%.",bier,1
"Dort ist kein Bier, sondern %%.",limo,1
"Dort ist kein Bier, sondern %%.",limonade,1
"Dort ist kein Bier, sondern %%.",multifitaminsaftschorle,1
"Dort ist kein Bier, sondern %%.",spezi,1
"Dort ist kein Bier, sondern %%.",traube,1
"Dort ist kein Bier, sondern %%.",vodka,1
"Dort ist kein Bikini, sondern %%.",badeanzug,22
"Dort ist kein Bikini, sondern %%.",badehose,14
"Dort ist kein Bikini, sondern %%.",unterwäsche,3
"Dort ist kein Bikini, sondern %%.",burka,1
"Dort ist kein Bikini, sondern %%.",kleid,1
"Dort ist kein Bikini, sondern %%.",nackedei,1
"Dort ist kein Bikini, sondern %%.",schal,1
"Dort ist kein Bikini, sondern %%.",sportlerin,1
"Dort ist kein Bikini, sondern %%.",tamponade,1
"Dort ist kein Bikini, sondern %%.",tanga,1
"Dort ist kein Bikini, sondern %%.",tankini,1
"Dort ist kein Bild, sondern %%.",gemälde,9
"Dort ist kein Bild, sondern %%.",foto,8
"Dort ist kein Bild, sondern %%.",bildschirm,3
"Dort ist kein Bild, sondern %%.",spiegel,3
"Dort ist kein Bild, sondern %%.",fernseher,2
"Dort ist kein Bild, sondern %%.",film,2
"Dort ist kein Bild, sondern %%.",wand,2
"Dort ist kein Bild, sondern %%.",zeichnung,2
"Dort ist kein Bild, sondern %%.",arm,1
"Dort ist kein Bild, sondern %%.",artikel,1
"Dort ist kein Bild, sondern %%.",blatt,1
"Dort ist kein Bild, sondern %%.",fahrrad,1
"Dort ist kein Bild, sondern %%.",fenster,1
"Dort ist kein Bild, sondern %%.",maler,1
"Dort ist kein Bild, sondern %%.",photo,1
"Dort ist kein Bild, sondern %%.",picasso,1
"Dort ist kein Bild, sondern %%.",portrait,1
"Dort ist kein Bild, sondern %%.",poster,1
"Dort ist kein Bild, sondern %%.",rahmen,1
"Dort ist kein Bild, sondern %%.",regal,1
"Dort ist kein Bild, sondern %%.",straftat.,1
"Dort ist kein Bild, sondern %%.",text,1
"Dort ist kein Bild, sondern %%.",urkunde,1
"Dort ist kein Bild, sondern %%.",video,1
"Dort ist kein Bildschirm, sondern %%.",fenster,8
"Dort ist kein Bildschirm, sondern %%.",bild,6
"Dort ist kein Bildschirm, sondern %%.",fernseher,4
"Dort ist kein Bildschirm, sondern %%.",leinwand,4
"Dort ist kein Bildschirm, sondern %%.",monitor,2
"Dort ist kein Bildschirm, sondern %%.",tafel,2
"Dort ist kein Bildschirm, sondern %%.",tastatur,2
"Dort ist kein Bildschirm, sondern %%.",beamer,1
"Dort ist kein Bildschirm, sondern %%.",bilderrahmen,1
"Dort ist kein Bildschirm, sondern %%.",buch,1
"Dort ist kein Bildschirm, sondern %%.",computer,1
"Dort ist kein Bildschirm, sondern %%.",foto,1
"Dort ist kein Bildschirm, sondern %%.",handy,1
"Dort ist kein Bildschirm, sondern %%.",knopf,1
"Dort ist kein Bildschirm, sondern %%.",kohlekraftwerk,1
"Dort ist kein Bildschirm, sondern %%.",lampenschirm,1
"Dort ist kein Bildschirm, sondern %%.",laptop,1
"Dort ist kein Bildschirm, sondern %%.",lautsprecher,1
"Dort ist kein Bildschirm, sondern %%.",papier,1
"Dort ist kein Bildschirm, sondern %%.",regenschirm,1
"Dort ist kein Bildschirm, sondern %%.",seite,1
"Dort ist kein Bildschirm, sondern %%.",spiegel,1
"Dort ist kein Bildschirm, sondern %%.",touchpad,1
"Dort ist kein Bildschirm, sondern %%.",tv,1
"Dort ist kein Bildschirm, sondern %%.",untergang,1
"Dort ist kein Bildschirm, sondern %%.",wand,1
"Dort ist kein Bleistift, sondern %%.",kugelschreiber,19
"Dort ist kein Bleistift, sondern %%.",füller,10
"Dort ist kein Bleistift, sondern %%.",buntstift,3
"Dort ist kein Bleistift, sondern %%.",kuli,3
"Dort ist kein Bleistift, sondern %%.",radiergummi,3
"Dort ist kein Bleistift, sondern %%.",block,2
"Dort ist kein Bleistift, sondern %%.",bleischürze.,1
"Dort ist kein Bleistift, sondern %%.",bundstift,1
"Dort ist kein Bleistift, sondern %%.",highlighter,1
"Dort ist kein Bleistift, sondern %%.",holzstab,1
"Dort ist kein Bleistift, sondern %%.",kulli,1
"Dort ist kein Bleistift, sondern %%.",schuh,1
"Dort ist kein Bleistift, sondern %%.",stern,1
"Dort ist kein Boot, sondern %%.",schiff,24
"Dort ist kein Boot, sondern %%.",yacht,5
"Dort ist kein Boot, sondern %%.",auto,2
"Dort ist kein Boot, sondern %%.",kanu,2
"Dort ist kein Boot, sondern %%.",barbar,1
"Dort ist kein Boot, sondern %%.",bett,1
"Dort ist kein Boot, sondern %%.",bus,1
"Dort ist kein Boot, sondern %%.",delphin,1
"Dort ist kein Boot, sondern %%.",floß.,1
"Dort ist kein Boot, sondern %%.",flugzeug,1
"Dort ist kein Boot, sondern %%.",hai,1
"Dort ist kein Boot, sondern %%.",haus,1
"Dort ist kein Boot, sondern %%.",kreuzfahrtschiff,1
"Dort ist kein Boot, sondern %%.",luxusyacht,1
"Dort ist kein Boot, sondern %%.",schwimmreifen,1
"Dort ist kein Boot, sondern %%.",tod,1
"Dort ist kein Boot, sondern %%.",wasser,1
"Dort ist kein Boot, sondern %%.",wasserbüffel,1
"Dort ist kein Brief, sondern %%.",postkarte,7
"Dort ist kein Brief, sondern %%.",paket,5
"Dort ist kein Brief, sondern %%.",email,4
"Dort ist kein Brief, sondern %%.",e-mail,3
"Dort ist kein Brief, sondern %%.",zettel,3
"Dort ist kein Brief, sondern %%.",buch,2
"Dort ist kein Brief, sondern %%.",papier,2
"Dort ist kein Brief, sondern %%.",umschlag,2
"Dort ist kein Brief, sondern %%.",blatt,1
"Dort ist kein Brief, sondern %%.",briefkasten,1
"Dort ist kein Brief, sondern %%.",despot,1
"Dort ist kein Brief, sondern %%.",fleck,1
"Dort ist kein Brief, sondern %%.",handy,1
"Dort ist kein Brief, sondern %%.",haus,1
"Dort ist kein Brief, sondern %%.",heft,1
"Dort ist kein Brief, sondern %%.",hund,1
"Dort ist kein Brief, sondern %%.",karte,1
"Dort ist kein Brief, sondern %%.",notiz,1
"Dort ist kein Brief, sondern %%.",päckchen,1
"Dort ist kein Brief, sondern %%.",roman,1
"Dort ist kein Brief, sondern %%.",sms,1
"Dort ist kein Brief, sondern %%.",tafel,1
"Dort ist kein Brief, sondern %%.",telegramm,1
"Dort ist kein Brief, sondern %%.",tiger,1
"Dort ist kein Brief, sondern %%.",umschlag.,1
"Dort ist kein Brief, sondern %%.",whatsapp,1
"Dort ist kein Brief, sondern %%.",zwei,1
"Dort ist kein Brot, sondern %%.",brötchen,17
"Dort ist kein Brot, sondern %%.",kuchen,4
"Dort ist kein Brot, sondern %%.",käse,3
"Dort ist kein Brot, sondern %%.",müsli,3
"Dort ist kein Brot, sondern %%.",toast,3
"Dort ist kein Brot, sondern %%.",brett,2
"Dort ist kein Brot, sondern %%.",butter,2
"Dort ist kein Brot, sondern %%.",banane,1
"Dort ist kein Brot, sondern %%.",banne,1
"Dort ist kein Brot, sondern %%.",bretzel,1
"Dort ist kein Brot, sondern %%.",brezel,1
"Dort ist kein Brot, sondern %%.",buch,1
"Dort ist kein Brot, sondern %%.",croissants,1
"Dort ist kein Brot, sondern %%.",fleisch,1
"Dort ist kein Brot, sondern %%.",krümel,1
"Dort ist kein Brot, sondern %%.",kuchenstück,1
"Dort ist kein Brot, sondern %%.",markus vogt.,1
"Dort ist kein Brot, sondern %%.",omlett,1
"Dort ist kein Brot, sondern %%.",wein,1
"Dort ist kein Brot, sondern %%.",zäpfchen,1
"Dort ist kein Butter, sondern %%.",margarine,14
"Dort ist kein Butter, sondern %%.",marmelade,7
"Dort ist kein Butter, sondern %%.",brot,5
"Dort ist kein Butter, sondern %%.",milch,4
"Dort ist kein Butter, sondern %%.",magarine,3
"Dort ist kein Butter, sondern %%.",öl,3
"Dort ist kein Butter, sondern %%.",frischkäse,2
"Dort ist kein Butter, sondern %%.",käse,1
"Dort ist kein Butter, sondern %%.",magariene,1
"Dort ist kein Butter, sondern %%.",manschettenknopf,1
"Dort ist kein Butter, sondern %%.",messer,1
"Dort ist kein Butter, sondern %%.",mutter,1
"Dort ist kein Butter, sondern %%.",nutella,1
"Dort ist kein Butter, sondern %%.",peitsche,1
"Dort ist kein Butter, sondern %%.",sahne,1
"Dort ist kein Butter, sondern %%.",schmalz,1
"Dort ist kein Cafe, sondern %%.",restaurant,12
"Dort ist kein Cafe, sondern %%.",tee,9
"Dort ist kein Cafe, sondern %%.",bar,7
"Dort ist kein Cafe, sondern %%.",bäckerei,2
"Dort ist kein Cafe, sondern %%.",buchhandlung,1
"Dort ist kein Cafe, sondern %%.",buchladen,1
"Dort ist kein Cafe, sondern %%.",eisdiele,1
"Dort ist kein Cafe, sondern %%.",franzose,1
"Dort ist kein Cafe, sondern %%.",freilichttheater,1
"Dort ist kein Cafe, sondern %%.",geschäft,1
"Dort ist kein Cafe, sondern %%.",haus,1
"Dort ist kein Cafe, sondern %%.",karaffe,1
"Dort ist kein Cafe, sondern %%.",kino,1
"Dort ist kein Cafe, sondern %%.",kneipe,1
"Dort ist kein Cafe, sondern %%.",lade,1
"Dort ist kein Cafe, sondern %%.",laden,1
"Dort ist kein Cafe, sondern %%.",mensa,1
"Dort ist kein Cafe, sondern %%.",pistazie,1
"Dort ist kein Cafe, sondern %%.",stuhl,1
"Dort ist kein Cafe, sondern %%.",tanke,1
"Dort ist kein Cafe, sondern %%.",teehaus,1
"Dort ist kein Cello, sondern %%.",geige,12
"Dort ist kein Cello, sondern %%.",kontrabass,10
"Dort ist kein Cello, sondern %%.",gitarre,6
"Dort ist kein Cello, sondern %%.",klavier,5
"Dort ist kein Cello, sondern %%.",violine,3
"Dort ist kein Cello, sondern %%.",apfel,1
"Dort ist kein Cello, sondern %%.",bar,1
"Dort ist kein Cello, sondern %%.",bild,1
"Dort ist kein Cello, sondern %%.",bratsche,1
"Dort ist kein Cello, sondern %%.",flöte,1
"Dort ist kein Cello, sondern %%.",gitarre.,1
"Dort ist kein Cello, sondern %%.",harfe,1
"Dort ist kein Cello, sondern %%.",kamera,1
"Dort ist kein Cello, sondern %%.",klarinette,1
"Dort ist kein Cello, sondern %%.",saxophon,1
"Dort ist kein Cello, sondern %%.",udo,1
"Dort ist kein Computer, sondern %%.",laptop,15
"Dort ist kein Computer, sondern %%.",tablet,5
"Dort ist kein Computer, sondern %%.",handy,4
"Dort ist kein Computer, sondern %%.",buch,3
"Dort ist kein Computer, sondern %%.",fernseher,3
"Dort ist kein Computer, sondern %%.",asiate.,1
"Dort ist kein Computer, sondern %%.",brett,1
"Dort ist kein Computer, sondern %%.",brot,1
"Dort ist kein Computer, sondern %%.",drucker,1
"Dort ist kein Computer, sondern %%.",ipad,1
"Dort ist kein Computer, sondern %%.",landkarte,1
"Dort ist kein Computer, sondern %%.",laptob,1
"Dort ist kein Computer, sondern %%.",nintendo,1
"Dort ist kein Computer, sondern %%.",quellwasser,1
"Dort ist kein Computer, sondern %%.",radio,1
"Dort ist kein Computer, sondern %%.",rechner,1
"Dort ist kein Computer, sondern %%.",schrank,1
"Dort ist kein Computer, sondern %%.",schreibblock,1
"Dort ist kein Computer, sondern %%.",schreibmaschine,1
"Dort ist kein Computer, sondern %%.",smartphone,1
"Dort ist kein Computer, sondern %%.",tastatur,1
"Dort ist kein Computer, sondern %%.",tisch,1
"Dort ist kein Delfin, sondern %%.",wal,18
"Dort ist kein Delfin, sondern %%.",hai,12
"Dort ist kein Delfin, sondern %%.",fisch,3
"Dort ist kein Delfin, sondern %%.",orca,2
"Dort ist kein Delfin, sondern %%.",dino,1
"Dort ist kein Delfin, sondern %%.",haifisch,1
"Dort ist kein Delfin, sondern %%.",maus,1
"Dort ist kein Delfin, sondern %%.",mensch,1
"Dort ist kein Delfin, sondern %%.",orka,1
"Dort ist kein Delfin, sondern %%.",pinguin,1
"Dort ist kein Delfin, sondern %%.",schildkröte,1
"Dort ist kein Delfin, sondern %%.",seismograph,1
"Dort ist kein Delfin, sondern %%.",thunfisch,1
"Dort ist kein Delfin, sondern %%.",tiger,1
"Dort ist kein Delfin, sondern %%.",waal,1
"Dort ist kein Delfin, sondern %%.",ziege,1
"Dort ist kein Dorf, sondern %%.",stadt,39
"Dort ist kein Dorf, sondern %%.",kirche,2
"Dort ist kein Dorf, sondern %%.",fluss,1
"Dort ist kein Dorf, sondern %%.",großstadt,1
"Dort ist kein Dorf, sondern %%.",großstadt.,1
"Dort ist kein Dorf, sondern %%.",matsch,1
"Dort ist kein Dorf, sondern %%.",nest,1
"Dort ist kein Dorf, sondern %%.",pferd,1
"Dort ist kein Drucker, sondern %%.",kopierer,12
"Dort ist kein Drucker, sondern %%.",computer,8
"Dort ist kein Drucker, sondern %%.",faxgerät,4
"Dort ist kein Drucker, sondern %%.",scanner,4
"Dort ist kein Drucker, sondern %%.",papier,2
"Dort ist kein Drucker, sondern %%.",tisch,2
"Dort ist kein Drucker, sondern %%.",3d-drucker,1
"Dort ist kein Drucker, sondern %%.",aktenvernichter,1
"Dort ist kein Drucker, sondern %%.",bett,1
"Dort ist kein Drucker, sondern %%.",box,1
"Dort ist kein Drucker, sondern %%.",buch,1
"Dort ist kein Drucker, sondern %%.",fax-gerät,1
"Dort ist kein Drucker, sondern %%.",hund,1
"Dort ist kein Drucker, sondern %%.",printer,1
"Dort ist kein Drucker, sondern %%.",projektor,1
"Dort ist kein Drucker, sondern %%.",rechenleistung,1
"Dort ist kein Drucker, sondern %%.",rechner,1
"Dort ist kein Drucker, sondern %%.",staubsauger,1
"Dort ist kein Drucker, sondern %%.",telefon,1
"Dort ist kein Drucker, sondern %%.",telegraph,1
"Dort ist kein Drucker, sondern %%.",trockner,1
"Dort ist kein Eis, sondern %%.",wasser,6
"Dort ist kein Eis, sondern %%.",schnee,5
"Dort ist kein Eis, sondern %%.",kuchen,3
"Dort ist kein Eis, sondern %%.",sonne,2
"Dort ist kein Eis, sondern %%.",apfel,1
"Dort ist kein Eis, sondern %%.",bäckerei.,1
"Dort ist kein Eis, sondern %%.",berg,1
"Dort ist kein Eis, sondern %%.",brezel,1
"Dort ist kein Eis, sondern %%.",burger,1
"Dort ist kein Eis, sondern %%.",bus,1
"Dort ist kein Eis, sondern %%.",eisbär,1
"Dort ist kein Eis, sondern %%.",eiswürfel,1
"Dort ist kein Eis, sondern %%.",feuer,1
"Dort ist kein Eis, sondern %%.",fisch,1
"Dort ist kein Eis, sondern %%.",gummibärchen,1
"Dort ist kein Eis, sondern %%.",himbeeren,1
"Dort ist kein Eis, sondern %%.",krankenhaus,1
"Dort ist kein Eis, sondern %%.",limonade,1
"Dort ist kein Eis, sondern %%.",milchshake,1
"Dort ist kein Eis, sondern %%.",obst,1
"Dort ist kein Eis, sondern %%.",pommes,1
"Dort ist kein Eis, sondern %%.",sahne,1
"Dort ist kein Eis, sondern %%.",schokolade,1
"Dort ist kein Eis, sondern %%.",see,1
"Dort ist kein Eis, sondern %%.",sorbeé,1
"Dort ist kein Eis, sondern %%.",sorbet,1
"Dort ist kein Eis, sondern %%.",steine,1
"Dort ist kein Eis, sondern %%.",süßigkeiten,1
"Dort ist kein Eis, sondern %%.",tee,1
"Dort ist kein Eis, sondern %%.",torte,1
"Dort ist kein Eis, sondern %%.",waffel,1
"Dort ist kein Eis, sondern %%.",wein,1
"Dort ist kein Eis, sondern %%.",wiese,1
"Dort ist kein Eis, sondern %%.",yoghurt,1
"Dort ist kein Eis, sondern %%.",zitrone,1
"Dort ist kein Engel, sondern %%.",teufel,27
"Dort ist kein Engel, sondern %%.",wolke,2
"Dort ist kein Engel, sondern %%.",bengel,1
"Dort ist kein Engel, sondern %%.",demon,1
"Dort ist kein Engel, sondern %%.",energiedrink,1
"Dort ist kein Engel, sondern %%.",fee,1
"Dort ist kein Engel, sondern %%.",florian wickelmaier,1
"Dort ist kein Engel, sondern %%.",gespenst,1
"Dort ist kein Engel, sondern %%.",gott,1
"Dort ist kein Engel, sondern %%.",heiliger,1
"Dort ist kein Engel, sondern %%.",hirte,1
"Dort ist kein Engel, sondern %%.",könig,1
"Dort ist kein Engel, sondern %%.",licht,1
"Dort ist kein Engel, sondern %%.",mädchen,1
"Dort ist kein Engel, sondern %%.",mensch,1
"Dort ist kein Engel, sondern %%.",papa,1
"Dort ist kein Engel, sondern %%.",priester,1
"Dort ist kein Engel, sondern %%.",seele,1
"Dort ist kein Engel, sondern %%.",seraphim,1
"Dort ist kein Engel, sondern %%.",vogel,1
"Dort ist kein Esel, sondern %%.",pferd,31
"Dort ist kein Esel, sondern %%.",maultier,2
"Dort ist kein Esel, sondern %%.",ziege,2
"Dort ist kein Esel, sondern %%.",buch,1
"Dort ist kein Esel, sondern %%.",character(0),1
"Dort ist kein Esel, sondern %%.",frau,1
"Dort ist kein Esel, sondern %%.",hund,1
"Dort ist kein Esel, sondern %%.",katze,1
"Dort ist kein Esel, sondern %%.",löwe,1
"Dort ist kein Esel, sondern %%.",muli,1
"Dort ist kein Esel, sondern %%.",okapi,1
"Dort ist kein Esel, sondern %%.",prophezeiung,1
"Dort ist kein Esel, sondern %%.",schaf,1
"Dort ist kein Esel, sondern %%.",zebra,1
"Dort ist kein Esel, sondern %%.",zeitung,1
"Dort ist kein Fahrrad, sondern %%.",auto,11
"Dort ist kein Fahrrad, sondern %%.",roller,6
"Dort ist kein Fahrrad, sondern %%.",dreirad,5
"Dort ist kein Fahrrad, sondern %%.",bus,4
"Dort ist kein Fahrrad, sondern %%.",motorrad,4
"Dort ist kein Fahrrad, sondern %%.",e-bike,2
"Dort ist kein Fahrrad, sondern %%.",ampel,1
"Dort ist kein Fahrrad, sondern %%.",atuo,1
"Dort ist kein Fahrrad, sondern %%.",boot,1
"Dort ist kein Fahrrad, sondern %%.",drahtesel.,1
"Dort ist kein Fahrrad, sondern %%.",e-scooter,1
"Dort ist kein Fahrrad, sondern %%.",ebike,1
"Dort ist kein Fahrrad, sondern %%.",einrad,1
"Dort ist kein Fahrrad, sondern %%.",fahrradständer,1
"Dort ist kein Fahrrad, sondern %%.",inliner,1
"Dort ist kein Fahrrad, sondern %%.",mauer,1
"Dort ist kein Fahrrad, sondern %%.",pullover,1
"Dort ist kein Fahrrad, sondern %%.",skateboard,1
"Dort ist kein Fahrrad, sondern %%.",tandem,1
"Dort ist kein Fahrrad, sondern %%.",veloziped,1
"Dort ist kein Fahrrad, sondern %%.",zug,1
"Dort ist kein Festival, sondern %%.",konzert,19
"Dort ist kein Festival, sondern %%.",party,6
"Dort ist kein Festival, sondern %%.",demo,2
"Dort ist kein Festival, sondern %%.",ausstellung,1
"Dort ist kein Festival, sondern %%.",autorennen,1
"Dort ist kein Festival, sondern %%.",beerdigung,1
"Dort ist kein Festival, sondern %%.",beerdigung.,1
"Dort ist kein Festival, sondern %%.",club,1
"Dort ist kein Festival, sondern %%.",feier,1
"Dort ist kein Festival, sondern %%.",gottesdienst,1
"Dort ist kein Festival, sondern %%.",jahrmarkt,1
"Dort ist kein Festival, sondern %%.",klarinette,1
"Dort ist kein Festival, sondern %%.",lesung,1
"Dort ist kein Festival, sondern %%.",markt,1
"Dort ist kein Festival, sondern %%.",musik,1
"Dort ist kein Festival, sondern %%.",oper,1
"Dort ist kein Festival, sondern %%.",opernaufführung,1
"Dort ist kein Festival, sondern %%.",parade,1
"Dort ist kein Festival, sondern %%.",rock,1
"Dort ist kein Festival, sondern %%.",ruhe,1
"Dort ist kein Festival, sondern %%.",theater,1
"Dort ist kein Festival, sondern %%.",weihnachtsmarkt,1
"Dort ist kein Festival, sondern %%.",zuhause,1
"Dort ist kein Feuerzeug, sondern %%.",streichholz,12
"Dort ist kein Feuerzeug, sondern %%.",streichhölzer,8
