DATAFLOW,LAST UPDATE,freq,age,n_lang,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Slovenia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Slovakia,2022,14.5,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Türkiye,2022,60.7,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Austria,2022,4.6,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Belgium,2022,11.1,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Bulgaria,2022,25.1,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Cyprus,2022,3.4,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Czechia,2022,4.2,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Germany,2022,4.0,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Denmark,2022,13.5,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Euro area – 20 countries (from 2023),2022,9.4,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Estonia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Greece,2022,8.3,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Spain,2022,18.6,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),European Union - 27 countries (from 2020),2022,10.3,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Finland,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),France,2022,12.0,b
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Croatia,2022,5.6,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Hungary,2022,27.1,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Ireland,2022,31.4,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Iceland,2022,5.5,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Italy,2022,8.0,b
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Lithuania,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Luxembourg,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Latvia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Malta,2022,21.2,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Netherlands,2022,4.4,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Norway,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Poland,2022,11.4,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Portugal,2022,12.7,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Romania,2022,16.6,b
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Serbia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Sweden,2022,3.0,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Slovenia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Slovakia,2022,4.6,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Türkiye,2022,13.2,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Austria,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Belgium,2022,6.8,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Bulgaria,2022,24.9,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Cyprus,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Germany,2022,2.6,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Denmark,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Euro area – 20 countries (from 2023),2022,6.4,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Estonia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Greece,2022,6.6,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Spain,2022,13.9,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,European Union - 27 countries (from 2020),2022,7.1,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Finland,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,France,2022,5.4,bu
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Croatia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Hungary,2022,15.3,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Ireland,2022,28.3,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Iceland,2022,4.1,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Italy,2022,4.9,b
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Lithuania,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Luxembourg,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Latvia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Malta,2022,21.3,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Netherlands,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Norway,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Poland,2022,8.6,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Portugal,2022,10.0,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Romania,2022,14.0,bu
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Serbia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Sweden,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Slovakia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,Türkiye,2022,11.9,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Austria,2022,6.3,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Belgium,2022,15.9,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Bulgaria,2022,25.6,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Cyprus,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Czechia,2022,6.0,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Germany,2022,6.7,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Denmark,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Euro area – 20 countries (from 2023),2022,14.1,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Estonia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Greece,2022,14.9,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Spain,2022,31.3,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,European Union - 27 countries (from 2020),2022,14.7,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Finland,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,France,2022,20.5,b
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Croatia,2022,7.5,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Hungary,2022,38.0,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Ireland,2022,44.4,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Iceland,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Italy,2022,11.2,b
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Lithuania,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Luxembourg,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Latvia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Malta,2022,21.2,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Netherlands,2022,7.1,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Norway,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Poland,2022,14.4,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Portugal,2022,17.9,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Romania,2022,17.2,b
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Serbia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Sweden,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Slovenia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Slovakia,2022,6.1,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,Türkiye,2022,17.3,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Tertiary education (levels 5-8),Austria,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Tertiary education (levels 5-8),Belgium,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Tertiary education (levels 5-8),Bulgaria,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Tertiary education (levels 5-8),Cyprus,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Tertiary education (levels 5-8),Germany,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Tertiary education (levels 5-8),Denmark,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Tertiary education (levels 5-8),Euro area – 20 countries (from 2023),2022,9.2,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Tertiary education (levels 5-8),Greece,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Tertiary education (levels 5-8),Spain,2022,18.6,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),2022,8.6,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,Tertiary education (levels 5-8),Finland,2022,,u
