Item,Condition,Expectancy,Particle,Context,Start sentence,R-Expression,Particle used,Original particle,unexpected  and unfair,list,generation,model,temperature,seed
2,5,medium,EW,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. ",Ausgerechnet heute,heute ,ausgerechnet,ausgerechnet,unexpected,6,hat Eva Richard in der Stadt getroffen.,gpt-3.5-turbo-16k,1.0,1
2,6,medium,OH,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. ",Heute,heute ,ohne,ohne,unexpected,1,Heute treffen sich Eva und Richard zufällig in der Stadt und kommen ins Gespräch über alte Zeiten.,gpt-3.5-turbo-16k,1.0,1
3,1,high,RA,"Tim liebt seinen neuen Volvo. Jeden Sonntag steht er extra früh auf, um sein Auto noch vor der neuen Arbeitswoche zu waschen. ",Nur Tims Volvo,Tims Volvo,nur,nur,unexpected  and unfair,3,"ist so sauber und glänzend, dass man sich darin spiegeln könnte.",gpt-3.5-turbo-16k,1.0,1
3,2,high,EW,"Tim liebt seinen neuen Volvo. Jeden Sonntag steht er extra früh auf, um sein Auto noch vor der neuen Arbeitswoche zu waschen. ",Ausgerechnet Tims Volvo,Tims Volvo,ausgerechnet,ausgerechnet,unexpected  and unfair,4,"hat eine spezielle Lackierung, die bei Sonnenschein schimmert.",gpt-3.5-turbo-16k,1.0,1
3,3,high,OH,"Tim liebt seinen neuen Volvo. Jeden Sonntag steht er extra früh auf, um sein Auto noch vor der neuen Arbeitswoche zu waschen. ",Tims Volvo,Tims Volvo,ohne,ohne,unexpected  and unfair,5,"ist für ihn nicht nur ein Fortbewegungsmittel, sondern ein echtes Liebhaberstück, das er mit großer Sorgfalt pflegt und hegt.",gpt-3.5-turbo-16k,1.0,1
3,4,medium,RA,"Tim hat einen neuen Volvo gekauft, weil der Kia, den er davor hatte, nicht genug Platz hatte für seine vier Kinder. ",Nur Tims Volvo,Tims Volvo,nur,nur,unexpected  and unfair,6, bietet genug Platz für all seine vier Kinder und ihre Sachen.,gpt-3.5-turbo-16k,1.0,1
3,5,medium,EW,"Tim hat einen neuen Volvo gekauft, weil der Kia, den er davor hatte, nicht genug Platz hatte für seine vier Kinder. ",Ausgerechnet Tims Volvo,Tims Volvo,ausgerechnet,ausgerechnet,unexpected  and unfair,1,"musste natürlich in der Farbe sein, die seine Kinder am meisten mögen: blau.",gpt-3.5-turbo-16k,1.0,1
3,6,medium,OH,"Tim hat einen neuen Volvo gekauft, weil der Kia, den er davor hatte, nicht genug Platz hatte für seine vier Kinder. ",Tims Volvo ,Tims Volvo,ohne,ohne,unexpected  and unfair,2,bietet ausreichend Platz für seine vier Kinder und ist zudem sicherer und komfortabler als sein vorheriger Kia.,gpt-3.5-turbo-16k,1.0,1
4,1,high,RA,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Durch seine jahrelange Erfahrung ist er sehr beliebt unter Kollegen und Patienten. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Nur Chefarzt Neugebauer,Chefarzt Neugebauer,nur,nur,unexpected,4,"war anwesend, da er als erfahrener Herzchirurg die Ethik-Kommission persönlich empfangen wollte.",gpt-3.5-turbo-16k,1.0,1
4,2,high,EW,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Durch seine jahrelange Erfahrung ist er sehr beliebt unter Kollegen und Patienten. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Gerade Chefarzt Neugebauer,Chefarzt Neugebauer,gerade,gerade,unexpected,5,stand vor der Ethik-Kommission und präsentierte stolz die hervorragenden Ergebnisse und die hohe Patientenzufriedenheit seines Teams.,gpt-3.5-turbo-16k,1.0,1
4,3,high,OH,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Durch seine jahrelange Erfahrung ist er sehr beliebt unter Kollegen und Patienten. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Chefarzt Neugebauer,Chefarzt Neugebauer,ohne,ohne ,unexpected,6,", der seit 1980 als Herzchirurg im Krankenhaus von Mannheim arbeitet, ist bekannt für seine herausragende Erfahrung und sein Engagement für seine Patienten.",gpt-3.5-turbo-16k,1.0,1
4,4,medium,RA,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Nur Chefarzt Neugebauer,Chefarzt Neugebauer,nur,nur,unexpected,1,"war bei der Ethik-Kommission vor Ort, um die jährliche Kontrolle zu durchlaufen.",gpt-3.5-turbo-16k,1.0,1
4,5,medium,EW,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Gerade Chefarzt Neugebauer,Chefarzt Neugebauer,gerade,gerade,unexpected,2,"war erleichtert, dass die Ethik-Kommission keine schwerwiegenden Beanstandungen hatte und lobte die gute Arbeit seines Teams im Krankenhaus von Mannheim.",gpt-3.5-turbo-16k,1.0,1
4,6,medium,OH,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Chefarzt Neugebauer,Chefarzt Neugebauer,ohne,ohne ,unexpected,3,"hatte alle notwendigen Unterlagen und Dokumente für die Ethik-Kommission vorbereitet und konnte überzeugend darlegen, dass alle ethischen Richtlinien und Standards im Krankenhaus von Mannheim eingehalten werden.",gpt-3.5-turbo-16k,1.0,1
5,1,high,RA,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung.",Lediglich Harz-IV-Empfänger,Harz-IV-Empfänger,lediglich,lediglich,unexpected,5,"werden von dieser Regelung profitieren, da sie sonst häufig nicht genügend finanzielle Mittel für Reisen mit dem Zug haben.",gpt-3.5-turbo-16k,1.0,1
5,2,high,EW,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung.",Ausgerechnet Harz-IV-Empfänger,Harz-IV-Empfänger,ausgerechnet,ausgerechnet,unexpected,6,"freuen sich über das neue 9-Euro-Ticket, das es ihnen ermöglicht, einen Monat lang durch ganz Deutschland mit dem Zug zu fahren.",gpt-3.5-turbo-16k,1.0,1
5,3,high,OH,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung.",Harz-IV-Empfänger,Harz-IV-Empfänger,ohne,ohne,unexpected,1,"sind erleichtert über die Einführung des 9-Euro-Tickets, da sie dadurch Kosten sparen und mehr Flexibilität bei der Mobilität erhalten.",gpt-3.5-turbo-16k,1.0,1
5,4,medium,RA,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Lediglich Harz-IV-Empfänger,Harz-IV-Empfänger,lediglich,lediglich,unexpected,2,"können von dieser preiswerten Option profitieren, was vielen Menschen mit geringem Einkommen eine erschwingliche Möglichkeit bietet, das Land zu bereisen.",gpt-3.5-turbo-16k,1.0,1
5,5,medium,EW,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Ausgerechnet Harz-IV-Empfänger,Harz-IV-Empfänger,ausgerechnet,ausgerechnet,unexpected,3,"sind von dieser Maßnahme besonders profitieren, da sie sich durch das 9-Euro-Ticket nun auch regelmäßige Zugfahrten leisten können.",gpt-3.5-turbo-16k,1.0,1
5,6,medium,OH,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Harz-IV-Empfänger,Harz-IV-Empfänger,ohne,ohne,unexpected,4,"sind besonders von dieser neuen Regelung des Bundesministeriums profitieren, da sie sich nun kostengünstig durch ganz Deutschland reisen können.",gpt-3.5-turbo-16k,1.0,1
6,1,high,RA,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Auch Nadja,Nadja,auch,auch,unexpected,6,hat sich gut auf diesen Termin vorbereitet und alle notwendigen Dokumente gesammelt.,gpt-3.5-turbo-16k,1.0,1
6,2,high,EW,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Ausgerechnet Nadja,Nadja,ausgerechnet,ausgerechnet,unexpected,1,"scheint finanziell gut aufgestellt zu sein und plant, sich den Traum vom Eigenheim zu erfüllen.",gpt-3.5-turbo-16k,1.0,1
6,3,high,OH,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Nadja,Nadja,ohne,ohne ,unexpected,2,"freut sich schon sehr darauf, endlich den ersten Schritt in Richtung Realisierung ihres Traumhauses zu machen und ihren lang gehegten Wunsch in die Tat umzusetzen.",gpt-3.5-turbo-16k,1.0,1
6,4,medium,RA,"Nadja hat einen stabilen Job. Ihre Rechnungen werden zeitnah beglichen und insofern kann sie sich nicht beschweren. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.",Auch Nadja,Nadja,auch,auch,unexpected,3,"muss sich sorgfältig über die verschiedenen Hypothekenoptionen informieren, um die beste Lösung für sich zu finden.",gpt-3.5-turbo-16k,1.0,1
6,5,medium,EW,"Nadja hat einen stabilen Job. Ihre Rechnungen werden zeitnah beglichen und insofern kann sie sich nicht beschweren. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Ausgerechnet Nadja,Nadja,ausgerechnet,ausgerechnet,unexpected,4,", die immer hart für ihre Ziele arbeitet und finanziell gut organisiert ist!",gpt-3.5-turbo-16k,1.0,1
6,6,medium,OH,"Nadja hat einen stabilen Job. Ihre Rechnungen werden zeitnah beglichen und insofern kann sie sich nicht beschweren. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Nadja,Nadja,ohne,ohne ,unexpected,5," freut sich schon sehr auf ihr Treffen mit dem Bankberater, um alle Details für die Hypothek zu besprechen und hoffentlich bald in ihr Traumhaus einzuziehen.",gpt-3.5-turbo-16k,1.0,1
7,1,high,RA,Erhard wird heute viel zu spät bei der Arbeit erscheinen. Er hat verschlafen und keine Zeit gehabt zu frühstücken. Außerdem regnet es draußen. Erhard rennt schnell zu seinem Auto.,Sogar heute,heute ,sogar,sogar,unexpected and unfair,1,Sogar heute wird Erhard es wahrscheinlich nicht rechtzeitig zur Arbeit schaffen.,gpt-3.5-turbo-16k,1.0,1
7,2,high,EW,Erhard wird heute viel zu spät bei der Arbeit erscheinen. Er hat verschlafen und keine Zeit gehabt zu frühstücken. Außerdem regnet es draußen. Erhard rennt schnell zu seinem Auto.,Eben heute,heute ,eben,eben,unexpected  and unfair,2,", an einem Tag, an dem er eigentlich pünktlich sein wollte, scheint einfach alles schief zu laufen.",gpt-3.5-turbo-16k,1.0,1
7,3,high,OH,Erhard wird heute viel zu spät bei der Arbeit erscheinen. Er hat verschlafen und keine Zeit gehabt zu frühstücken. Außerdem regnet es draußen. Erhard rennt schnell zu seinem Auto.,Heute,heute ,ohne,ohne,unexpected and unfair,3,ist wirklich kein guter Tag für Erhard.,gpt-3.5-turbo-16k,1.0,1
7,4,medium,RA,"Erhard hat gerade ein Bauernfrühstück verzehrt und schaut, bevor er zur Arbeit fährt, noch kurz die Tagesschau. Dann wird er seine Jacke anziehen und zum Auto laufen.",Sogar heute,heute ,sogar,sogar,unexpected,4,", an einem hektischen Montagmorgen, nimmt sich Erhard Zeit, um sich über die aktuellen Nachrichten zu informieren und gestärkt in den Tag zu starten.",gpt-3.5-turbo-16k,1.0,1
7,5,medium,EW,"Erhard hat gerade ein Bauernfrühstück verzehrt und schaut, bevor er zur Arbeit fährt, noch kurz die Tagesschau. Dann wird er seine Jacke anziehen und zum Auto laufen.",Eben heute,heute ,eben,eben,unexpected,5,ist ein stressiger Tag und Erhard muss pünktlich zur Arbeit kommen.,gpt-3.5-turbo-16k,1.0,1
7,6,medium,OH,"Erhard hat gerade ein Bauernfrühstück verzehrt und schaut, bevor er zur Arbeit fährt, noch kurz die Tagesschau. Dann wird er seine Jacke anziehen und zum Auto laufen.",Heute,heute ,ohne,ohne,unexpected,6,ist ein stressiger Tag schon vorprogrammiert.,gpt-3.5-turbo-16k,1.0,1
8,1,high,RA,Moritz ist gelernter Waffenmechaniker und Sportschütze. Er hat einen absolut sicheren Umgang mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht.,Auch Moritz,Moritz,auch ,auch,unexpected,2,zeigt bei der Schießübung sein großes Können und seine Präzision im Umgang mit der Waffe.,gpt-3.5-turbo-16k,1.0,1
8,2,high,EW,Moritz ist gelernter Waffenmechaniker und Sportschütze. Er hat einen absolut sicheren Umgang mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht.,Ausgerechnet Moritz,Moritz,ausgerechnet,ausgerechnet,unexpected,3,zeigt seine beeindruckende Präzision und Sicherheit im Umgang mit der Waffe.,gpt-3.5-turbo-16k,1.0,1
8,3,high,OH,Moritz ist gelernter Waffenmechaniker und Sportschütze. Er hat einen absolut sicheren Umgang mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht.,Moritz ,Moritz,ohne,ohne ,unexpected,4,"bewies erneut seine professionelle Präzision und Konzentration, als er zielsicher jeden Schuss ins Schwarze setzte.",gpt-3.5-turbo-16k,1.0,1
8,4,medium,RA,Moritz arbeitet schon längere Zeit bei der Polizei und übt gelegentlich mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht. ,Auch Moritz,Moritz,auch ,auch,unexpected,5,zeigt seine Treffsicherheit und trifft die Zielscheibe in der Mitte.,gpt-3.5-turbo-16k,1.0,1
8,5,medium,EW,Moritz arbeitet schon längere Zeit bei der Polizei und übt gelegentlich mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht. ,Ausgerechnet Moritz,Moritz,ausgerechnet,ausgerechnet,unexpected,6,schießt an diesem Tag die beste Trefferquote unter allen Kollegen und beeindruckt damit sogar seinen Vorgesetzten.,gpt-3.5-turbo-16k,1.0,1
8,6,medium,OH,Moritz arbeitet schon längere Zeit bei der Polizei und übt gelegentlich mit Waffen. Heute wird bei der Arbeit eine Schießübung gemacht. ,Moritz ,Moritz,ohne,ohne ,unexpected,1,zeigt seine hohe Treffsicherheit und beeindruckt seine Kollegen mit seinem Geschick im Umgang mit der Waffe.,gpt-3.5-turbo-16k,1.0,1
9,1,high,RA,"Anna fliegt an Weihnachten nach Kuba. Sie hat bereits alles für den Urlaub erledigt und freut sich, dem Winter entfliehen zu können. ",Sogar einen Tag vor dem Abflug,einen Tag vor dem Abflug,sogar,sogar,unfair,3,hat Anna noch ihre Koffer gepackt und alle Reiseunterlagen griffbereit gemacht. ,gpt-3.5-turbo-16k,1.0,1
9,2,high,EW,"Anna fliegt an Weihnachten nach Kuba. Sie hat bereits alles für den Urlaub erledigt und freut sich, dem Winter entfliehen zu können. ",Ausgerechnet einen Tag vor dem Abflug,einen Tag vor dem Abflug,ausgerechnet,ausgerechnet,unfair,4,"merkt Anna, dass ihr Reisepass abgelaufen ist.",gpt-3.5-turbo-16k,1.0,1
9,3,high,OH,"Anna fliegt an Weihnachten nach Kuba. Sie hat bereits alles für den Urlaub erledigt und freut sich, dem Winter entfliehen zu können. ",Einen Tag vor dem Abflug,einen Tag vor dem Abflug,ohne,ohne ,unfair,5,packt Anna ihre Koffer und überprüft noch einmal alle wichtigen Dokumente.,gpt-3.5-turbo-16k,1.0,1
9,4,medium,RA,Anna fliegt an Weihnachten nach Kuba. Ihr Flug ist am Morgen für 6:15 Uhr angesagt. ,Sogar einen Tag vor dem Abflug,einen Tag vor dem Abflug,sogar,sogar,unexpected,6,"macht sich Anna aufgeregt bereit, packt ihre letzten Sachen zusammen und kann vor lauter Vorfreude kaum schlafen.",gpt-3.5-turbo-16k,1.0,1
9,5,medium,EW,Anna fliegt an Weihnachten nach Kuba. Ihr Flug ist am Morgen für 6:15 Uhr angesagt. ,Ausgerechnet einen Tag vor dem Abflug,einen Tag vor dem Abflug,ausgerechnet,ausgerechnet,unexpected,1,"realisiert Anna, dass ihr Reisepass abgelaufen ist.",gpt-3.5-turbo-16k,1.0,1
9,6,medium,OH,Anna fliegt an Weihnachten nach Kuba. Ihr Flug ist am Morgen für 6:15 Uhr angesagt. ,Einen Tag vor dem Abflug,einen Tag vor dem Abflug,ohne,ohne ,unexpected,2,"packt Anna ihre Koffer und überprüft noch einmal, ob sie alle wichtigen Dokumente dabei hat.",gpt-3.5-turbo-16k,1.0,1
10,1,high,RA,"Nina arbeitet schon 20 Jahre in der gleichen Firma. Sie liefert täglich eine Topleistung ab. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen.",Auch Nina,Nina ,auch,auch,unexpected and unfair,4,war von der drohenden Entlassung betroffen und musste sich daher auf die Suche nach neuen beruflichen Möglichkeiten machen.,gpt-3.5-turbo-16k,1.0,1
10,2,high,EW,"Nina arbeitet schon 20 Jahre in der gleichen Firma. Sie liefert täglich eine Topleistung ab. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen.",Ausgerechnet Nina,Nina ,ausgerechnet,ausgerechnet,unexpected and unfair,5,"soll nun auch von den Entlassungen betroffen sein, obwohl sie seit 20 Jahren täglich eine Topleistung abgeliefert hat.",gpt-3.5-turbo-16k,1.0,1
10,3,high,OH,"Nina arbeitet schon 20 Jahre in der gleichen Firma. Sie liefert täglich eine Topleistung ab. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen.",Nina,Nina ,ohne,ohne,unexpected and unfair,6,"macht sich große Sorgen um ihre berufliche Zukunft, da sie trotz ihrer langjährigen Erfahrung und guten Leistungen nicht sicher vor einer Entlassung ist.",gpt-3.5-turbo-16k,1.0,1
10,4,medium,RA,"Nina arbeitet zusammen mit 30 anderen Kundenservicemitarbeitern für eine große Telefonie-Firma. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen. ",Auch Nina,Nina ,auch,auch,unexpected and unfair,1,"auch Nina muss sich nun Gedanken darüber machen, wie sie sich beruflich neu orientieren kann.",gpt-3.5-turbo-16k,1.0,1
10,5,medium,EW,"Nina arbeitet zusammen mit 30 anderen Kundenservicemitarbeitern für eine große Telefonie-Firma. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen. ",Ausgerechnet Nina,Nina ,ausgerechnet,ausgerechnet,unexpected and unfair,2,war seit fünf Jahren loyal und engagiert für das Unternehmen tätig.,gpt-3.5-turbo-16k,1.0,1
10,6,medium,OH,"Nina arbeitet zusammen mit 30 anderen Kundenservicemitarbeitern für eine große Telefonie-Firma. Die Firma hat angekündigt, einige Mitarbeiter entlassen zu müssen. ",Nina,Nina ,ohne,ohne,unexpected and unfair,3,"ist besorgt um ihre Zukunft bei der Firma, da sie sich Sorgen macht, dass sie selbst entlassen werden könnte.",gpt-3.5-turbo-16k,1.0,1
11,1,high,RA,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine wichtige Besprechung mit einer potenziellen neuen Kundin.,Erst dann,dann,erst,erst,unexpected,5,"realisierte Julia, dass sie ihren Termin komplett vergessen hatte und sich jetzt schnell auf den Weg zur Besprechung machen musste.",gpt-3.5-turbo-16k,1.0,1
11,2,high,EW,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine wichtige Besprechung mit einer potenziellen neuen Kundin.,Gerade dann,dann,gerade,gerade,unexpected,6,...hatte Julia einen platten Reifen und musste den Rest des Weges zu Fuß gehen.,gpt-3.5-turbo-16k,1.0,1
11,3,high,OH,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine wichtige Besprechung mit einer potenziellen neuen Kundin.,Dann,dann,ohne,ohne ,unexpected,1,"musste Julia früh aufstehen, um sich rechtzeitig vorzubereiten und pünktlich im Büro zu sein.",gpt-3.5-turbo-16k,1.0,1
11,4,medium,RA,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine Besprechung mit einer Kollegin. ,Erst dann,dann,erst,erst,unexpected,2,"realisierte Julia, dass sie ihren Laptop zuhause vergessen hatte.",gpt-3.5-turbo-16k,1.0,1
11,5,medium,EW,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine Besprechung mit einer Kollegin. ,Gerade dann,dann,gerade,gerade,unexpected,3,"als sie die Besprechung beenden wollten, klopfte es an der Tür und ihr Chef betrat den Raum.",gpt-3.5-turbo-16k,1.0,1
11,6,medium,OH,Julia fährt jeden Morgen mit dem Fahrrad zur Arbeit. Am Dienstag hatte sie eine Besprechung mit einer Kollegin. ,Dann,dann,ohne,ohne ,unexpected,4,"entschieden sie, das Meeting ins Freie zu verlegen, um die frische Luft und die Sonne zu genießen.",gpt-3.5-turbo-16k,1.0,1
12,1,high,RA,"Lisa hat eine chronische Krankheit, die ihre Leistungsfähigkeit bei der Arbeit stark beeinträchtigt. Ihr Arbeitgeber hat sie nun zum Evaluationsgespräch eingeladen.",Auch Lisa,Lisa,auch,auch,unexpected,6,"wünscht sich, dass ihr Arbeitgeber Verständnis für ihre Situation zeigt und gemeinsam nach Lösungen sucht, um ihre Arbeitssituation zu verbessern.",gpt-3.5-turbo-16k,1.0,1
