Variable;Explanation;Response scale
bfi_25;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 25";1 = very inapplicable, ..., 5 = very applicable
bfi_26;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 26";1 = very inapplicable, ..., 5 = very applicable
bfi_27;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 27";1 = very inapplicable, ..., 5 = very applicable
bfi_28;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 28";1 = very inapplicable, ..., 5 = very applicable
bfi_29;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 29";1 = very inapplicable, ..., 5 = very applicable
bfi_30;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 30";1 = very inapplicable, ..., 5 = very applicable
bfi_31;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 31";1 = very inapplicable, ..., 5 = very applicable
bfi_32;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 32";1 = very inapplicable, ..., 5 = very applicable
bfi_33;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 33";1 = very inapplicable, ..., 5 = very applicable
bfi_34;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 34";1 = very inapplicable, ..., 5 = very applicable
bfi_35;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 35";1 = very inapplicable, ..., 5 = very applicable
bfi_36;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 36";1 = very inapplicable, ..., 5 = very applicable
bfi_37;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 37";1 = very inapplicable, ..., 5 = very applicable
bfi_38;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 38";1 = very inapplicable, ..., 5 = very applicable
bfi_39;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 39";1 = very inapplicable, ..., 5 = very applicable
bfi_40;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 40";1 = very inapplicable, ..., 5 = very applicable
bfi_41;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 41";1 = very inapplicable, ..., 5 = very applicable
bfi_42;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 42";1 = very inapplicable, ..., 5 = very applicable
bfi_43;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 43";1 = very inapplicable, ..., 5 = very applicable
bfi_44;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 44";1 = very inapplicable, ..., 5 = very applicable
bfi_45;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 45";1 = very inapplicable, ..., 5 = very applicable
BFI_Extra;Extraversion - Total score;
BFI_Extra_Durchs;Extraversion - Assertiveness;
BFI_Extra_Aktiv;Extraversion - Activity;
BFI_Agree;Agreeableness - Total score;
BFI_Agree_Altru;Agreeableness - Altruism;
BFI_Agree_Entgeg;Agreeableness - Compliance;
BFI_Consc;Conscientiousness - Total score;
BFI_Consc_Ordentlich;Conscientiousness - Order;
BFI_Consc_Selbstdisz;Conscientiousness - Self-Discipline;
BFI_Neuro;Neuroticism - Total score;
BFI_Neuro_Aengstl;Neuroticism - Anxiety;
BFI_Neuro_Depr;Neuroticism - Depression;
BFI_Open;Openness - Total score;
BFI_Open_Aesth;Openness - Aesthetics;
BFI_Open_Idea;Openness - Ideas;
